date,open,high,low,close,volume,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,rsi_14d
2025-02-25,315.5,322.54998779296875,314.3999938964844,319.79998779296875,75090,0.009151132699080078,0.39610933928769365,-0.029987657443443352,144186.1,349.3913433690131,0.025986446162079346,1.0495153592743574,0.02310254154701515,32.235511784186016
2025-02-27,323.0,323.8500061035156,308.3999938964844,313.6000061035156,130670,-0.019387060431868552,0.3658748813982964,-0.029987657443443352,148128.4,349.03521065990367,-0.026238105914430987,1.064979250285494,-0.05298822326335462,23.410836981284206
2025-02-28,309.8500061035156,316.8999938964844,301.5,313.45001220703125,197917,-0.00047829685448053105,0.36602405300686813,-0.029987657443443352,154329.85,348.6811290832582,-0.02382433432286568,1.0595788389398246,-0.0013067360942101674,24.794728550733964
2025-03-03,310.6000061035156,315.0,300.20001220703125,300.79998779296875,103154,-0.04035739008268813,0.38156789046877515,-0.029987657443443352,157647.45,348.20469981668816,-0.06728685955668601,1.0971742425948707,-0.10576725671396117,24.512965153968977
2025-03-04,300.0,309.0,296.6000061035156,307.3500061035156,96418,0.021775327713959403,0.389754023262714,-0.029987657443443352,156239.15,347.79818545138295,-0.030135651552231524,1.066349413602787,0.055869409564985116,33.23847456045378
2025-03-05,307.04998779296875,317.3999938964844,306.25,316.20001220703125,79991,0.028794553205686135,0.3880189599086423,-0.029987657443443352,157616.25,347.4837757673596,-0.011256959735308159,1.030803247332704,0.07420913779670543,42.97008028414409
2025-03-06,320.79998779296875,321.0,314.54998779296875,316.79998779296875,60043,0.0018974559227551424,0.3886612048829058,-0.029987657443443352,155820.25,347.17846444423134,0.010204023045831345,1.0227588749031635,0.004882030545102886,43.226515356650275
2025-03-07,316.0,322.95001220703125,315.0,317.8999938964844,73971,0.00347224162216353,0.38668980143245535,-0.029987657443443352,139954.8,346.8871363790796,0.01419678263248536,1.0118040439295697,0.008979397748549266,54.25239180215719
2025-03-10,317.45001220703125,317.8999938964844,304.5,305.75,56276,-0.03821954743553946,0.3844806574092898,-0.029987657443443352,129023.4,346.47781163898924,0.016456158270984345,1.0432215842670431,-0.09940564162320739,41.10031651847747
2025-03-11,305.0,307.5,299.79998779296875,302.3999938964844,71360,-0.010956683903567077,0.38377623195090493,-0.029987657443443352,130415.3,346.03922638782007,-0.0161054566739266,1.0472553101242976,-0.028549666982691246,43.61262095423922
