date,open,high,low,close,volume,daily_return,rolling_volatility_ann,var_95_threshold,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,target_forward_return_5d
2025-02-25,330.5,336.95001220703125,329.6000061035156,331.6000061035156,4709750,0.004239835992515317,0.24582542613211572,-0.031131615588006898,0.016435408893665127,1.0432750063524603,0.01724734453531762,0.015681488521534614
2025-02-27,331.6499938964844,339.8999938964844,329.5,338.25,8675643,0.02005426349240902,0.25061055304852176,-0.031131615588006898,0.009312620536539251,1.0216777477278502,0.08002162099019837,-0.023059830873521814
2025-02-28,337.8999938964844,337.8999938964844,321.8999938964844,323.3500061035156,9209911,-0.04405024064001295,0.2916146877014612,-0.031131615588006898,0.05489407658869072,1.065068784175369,-0.15105631158930513,0.01252508958256282
2025-03-03,325.0,328.25,312.75,326.70001220703125,6628370,0.010360309386984179,0.29416867174769046,-0.031131615588006898,0.02969079071630465,1.0501530035666427,0.03521894079761439,0.010713192131079685
2025-03-04,326.0,330.1499938964844,319.5,327.0,3429689,0.0009182362465864902,0.2865020130480849,-0.031131615588006898,0.00978597005208326,1.045657488621703,0.003204990445852379,0.04403667858252103
2025-03-05,329.8999938964844,337.5,326.54998779296875,336.79998779296875,3824203,0.029969381629873837,0.3083609111576348,-0.031131615588006898,-0.015439376122096449,1.0122476568606291,0.09718929855756081,-0.03607480503815508
2025-03-06,338.0,340.8999938964844,328.6000061035156,330.45001220703125,5352132,-0.018853847434937676,0.30385953450837855,-0.031131615588006898,0.023604138310886036,1.0275230357143847,-0.06204790264344586,-0.01044034522495274
2025-03-07,331.04998779296875,332.25,325.8999938964844,327.3999938964844,3798696,-0.009229893169548475,0.3034583575879185,-0.031131615588006898,-0.012370152316646843,1.0327122950141976,-0.030415681870674977,0.009774014253778551
2025-03-10,329.04998779296875,336.54998779296875,328.1499938964844,330.20001220703125,4911269,0.008552285775033308,0.30652143748889127,-0.031131615588006898,-0.010599636192034856,1.0189430280645257,0.027901100706316004,0.0012113685090768822
2025-03-11,326.29998779296875,342.5,325.20001220703125,341.3999938964844,6330559,0.033918780361615664,0.3230560592920644,-0.031131615588006898,-0.04217924473909218,0.9839557897362071,0.10499347817839884,-0.006151160342880324
2025-03-12,345.0,345.0,314.70001220703125,324.6499938964844,16599619,-0.04906268394685076,0.34807894999302835,-0.031131615588006898,0.037424901046997805,1.031095043856858,-0.1409527422968439,0.04912987065115093
2025-03-13,324.95001220703125,330.20001220703125,323.3500061035156,327.0,6340342,0.0072385835444215285,0.34895822151729006,-0.031131615588006898,0.010550496045967028,1.020565749235474,0.020743409642316673,0.0668195905306288
2025-03-17,326.0,332.0,322.25,330.6000061035156,4496735,0.011009192977111892,0.3522070002139955,-0.031131615588006898,-0.009679407586064226,1.0067074838497305,0.03125773382654388,0.055807566088417415
2025-03-18,330.6000061035156,330.6000061035156,330.6000061035156,330.6000061035156,0,0.0,0.3516287580134967,-0.031131615588006898,-0.0012099028708399961,1.005966407956503,0.0,0.027676932025280765
2025-03-19,337.25,342.8500061035156,336.04998779296875,339.29998779296875,7037625,0.026315733602040536,0.33975852871263,-0.031131615588006898,0.006189231296987119,0.9801724508557244,0.07745422293653834,-0.00014732624452451493
2025-03-20,341.0,342.1000061035156,334.1000061035156,340.6000061035156,3429892,0.0038314717280216737,0.33780713381317296,-0.031131615588006898,-0.04682916007401272,0.9769524238491912,0.011342186801534017,-0.0064592253893343
2025-03-21,340.8999938964844,350.0,338.45001220703125,348.8500061035156,8201117,0.024221960810806964,0.34651112737946105,-0.031131615588006898,-0.06263438647334285,0.954916142490712,0.06990240196603471,-0.04170852244798129
