date,open,high,low,close,volume,split_ratio,dividend,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,rsi_14d
2021-03-01,81.0,81.0,78.04000091552734,78.44999694824219,3244010,0.0,0.0,-0.019742619707041942,0.41203782655664134,-0.03768512451893327,3290909.5,94.5265042880614,-0.007590209745125143,1.0196367445270154,-0.04791457957363582,47.07286853704249
2021-03-02,79.0,80.08999633789062,78.61000061035156,79.05999755859375,2036290,0.0,0.0,0.007775661364958442,0.41244316223467903,-0.03704521194492383,3017823.75,94.37260869871348,-0.024673082411016733,1.0105236769861323,0.018852685384094833,53.80227151592117
2021-03-03,79.4000015258789,81.4000015258789,78.80000305175781,78.9800033569336,3087085,0.0,0.0,-0.0010118163942627323,0.31163255396107226,-0.0368742767708835,2916235.5,94.21944844655647,-0.028177597892495854,1.0094707028074683,-0.003246824983248939,54.98705077402468
2021-03-04,78.80999755859375,80.0,78.5999984741211,79.18000030517578,1773840,0.0,0.0,0.002532247907591767,0.3063749841000025,-0.03670334159684317,2833576.0,94.06980219639348,-0.030251086032377583,1.004066675396436,0.008265191208017542,53.23014599219017
2021-03-05,79.18000030517578,80.0999984741211,78.5999984741211,78.76000213623047,1802915,0.0,0.0,-0.005304346644690039,0.29850320002746733,-0.03653240642280285,2759022.0,93.91746587738689,-0.015869007402695923,1.007256192368455,-0.017769814415737606,51.12733406784463
2021-03-08,78.81999969482422,79.36000061035156,78.0,78.08000183105469,1268160,0.0,0.0,-0.008633827916860515,0.294006878331941,-0.036361471248762524,2621673.25,93.7598791704582,-0.004716317802174075,1.0134797415542665,-0.029366073583666212,54.29577933404404
2021-03-09,78.30000305175781,79.48999786376953,77.01000213623047,77.38999938964844,1836470,0.0,0.0,-0.008837121224705369,0.29485483864009776,-0.036190536074722196,2529907.25,93.59699479452976,-0.02112317506343997,1.02119783762511,-0.0299710900650375,51.355018035881564
2021-03-10,77.98999786376953,78.33999633789062,77.1500015258789,77.25,1033465,0.0,0.0,-0.001809011380702552,0.2747526368839092,-0.03601960090068187,2411446.25,93.43433812990757,-0.021904321137025118,1.022653721682848,-0.006584145416684232,31.78003118371126
2021-03-12,78.1500015258789,78.1500015258789,76.01000213623047,76.19999694824219,1509460,0.0,0.0,-0.013592272514664216,0.27028782109148564,-0.03584866572664154,2375434.5,93.26285214800046,-0.037635808858904496,1.0359317964141044,-0.05028814083037121,30.1236606071091
2021-03-15,76.19999694824219,76.47000122070312,74.12999725341797,75.0199966430664,1612840,0.0,0.0,-0.015485568929579863,0.2746324438347419,-0.03567773055260121,2281363.0,93.08133119770262,-0.047486101977181394,1.0500933487277204,-0.05638652210746437,31.428538878122893
2021-03-16,75.0,76.37000274658203,74.7300033569336,75.05000305175781,1657715,0.0,0.0,0.0003999788061064269,0.27158155506619425,-0.03550679537856089,2288609.75,92.90191499724547,-0.03880633591496352,1.0474283350313522,0.0014727759817163497,16.121829077819
2021-03-17,75.38999938964844,75.38999938964844,72.4000015258789,72.58999633789062,1413700,0.0,0.0,-0.03277823602712793,0.29125966545439996,-0.035335860204520564,2243047.0,92.69980635386882,-0.062023557172942057,1.0799835167653298,-0.11253956104974008,10.971284706091112
2021-03-18,74.16999816894531,74.16999816894531,69.80999755859375,70.4800033569336,2105210,0.0,0.0,-0.029067269422848208,0.29938106797206404,-0.035164925030480236,2255212.5,92.47871378673514,-0.08763749699762335,1.1076971634956005,-0.09709120435981777,6.536992678186735
2021-03-19,70.4000015258789,70.4800033569336,67.5,69.16999816894531,2059285,0.0,0.0,-0.01858690586823597,0.30278778652360516,-0.03499398985643991,2073959.5,92.24678626815017,-0.09225720552288086,1.120008697090859,-0.061385914761551315,6.698591591050317
2021-03-22,68.87999725341797,71.19999694824219,68.41000366210938,69.5,2401825,0.0,0.0,0.004770881014752426,0.21776305725855516,-0.03482305468239958,1991925.5,92.02045008637754,-0.0735803371110465,1.1066330889146105,0.02190858658822916,10.363196619170168
2021-03-23,70.0,71.19000244140625,68.5999984741211,69.08000183105469,1703025,0.0,0.0,-0.0060431391215153285,0.21773218989775656,-0.03465211950835926,2001857.5,91.79218691965791,-0.07954698171812125,1.10614501437635,-0.027754916931685285,5.045088945922217
2021-03-24,68.6500015258789,70.19999694824219,68.02999877929688,69.5199966430664,1664045,0.0,0.0,0.006369351481602337,0.21712497262730937,-0.03448118433431893,1865834.0,91.57057308606,-0.04229232469628508,1.0908444078631494,0.029334954478892,8.72599827165503
2021-03-25,69.19999694824219,69.87000274658203,66.69999694824219,67.56999969482422,2037200,0.0,0.0,-0.028049439620286165,0.19772862048279738,-0.034310249160278604,1909143.75,91.33176141052532,-0.04128835873307457,1.1121873622133263,-0.14185826074755775,6.0560381278198605
2021-03-26,68.12999725341797,68.5999984741211,66.0,66.27999877929688,1655860,0.0,0.0,-0.019091326348284032,0.1965902932101084,-0.034139313986238276,1912855.25,91.08249014056285,-0.041781111264304394,1.1222390005723197,-0.09711224834868856,5.681835982074105
