date,open,high,low,close,volume,dividend,daily_return,rolling_volatility_ann,var_95_threshold,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,target_forward_return_5d
2025-02-25,12388.75,12507.400390625,12350.0,12476.349609375,363355,0.0,0.010623514563360192,0.23920654510848882,-0.021682489409561752,0.024835035538333328,1.0184888173577162,0.04441146923645987,-0.06885026685646323
2025-02-27,12531.7001953125,12550.0,12312.0,12380.599609375,236805,0.0,-0.007674520432487064,0.2365700521835727,-0.021682489409561752,0.024679804766372326,1.0279027624337285,-0.03244079306422053,-0.057686965194253204
2025-02-28,12338.5,12338.5,11811.7001953125,11945.849609375,605149,0.0,-0.03511542362381159,0.2687087829241338,-0.021682489409561752,0.04142030892986326,1.063784738259807,-0.130682078698206,-0.023581346489489063
2025-03-03,11886.0,12059.4501953125,11757.75,11775.599609375,186884,0.0,-0.014251811764513511,0.255483361721565,-0.021682489409561752,0.046524219921789456,1.074320450773224,-0.05578371566211225,-0.016096828269924535
2025-03-04,11690.0,11724.25,11591.0,11616.25,255726,0.0,-0.013532186441540972,0.17762602064323152,-0.021682489409561752,0.06275262630474554,1.0824992980267405,-0.0761835773311901,0.002642866270311073
2025-03-05,11605.0,11830.0,11568.349609375,11617.349609375,349730,0.0,9.46613042074329e-05,0.159510828163188,-0.021682489409561752,0.07394113363919108,1.0759728218318407,0.0005934474754034543,0.0019582779863698274
2025-03-06,11701.0,11729.5,11480.0,11666.400390625,315309,0.0,0.004222200665323639,0.16287378408245837,-0.021682489409561752,0.06121847312251716,1.0653613843641856,0.025923143063678242,-0.013080348764656469
2025-03-07,11650.0,11742.2998046875,11601.0,11664.150390625,259055,0.0,-0.00019286154466358063,0.16341708999418497,-0.021682489409561752,0.024150856197500126,1.0595233751587605,-0.0011801797037791235,-0.009469201923294257
2025-03-10,11600.0,11697.900390625,11533.650390625,11586.0498046875,153894,0.0,-0.006695780088730063,0.1626600193363518,-0.021682489409561752,0.016360175200594407,1.0603499628923017,-0.04116426214878143,-0.002792117237568892
2025-03-11,11579.5,11692.0,11510.0,11646.9501953125,245822,0.0,0.005256354983072864,0.16659353296825033,-0.021682489409561752,-0.0026358999392696036,1.0494230064754244,0.03155197308022094,-0.002696018279329304
2025-03-12,11620.7998046875,11723.9501953125,11522.0,11640.099609375,249361,0.0,-0.0005881871067205946,0.16585263387692475,-0.021682489409561752,-0.0019544506287280106,1.04538323541784,-0.0035464439575474847,0.0077405339267828666
2025-03-13,11634.7998046875,11685.0,11489.75,11513.7998046875,260736,0.0,-0.010850405832075305,0.16423671939296028,-0.021682489409561752,0.01325371193924818,1.051892311459474,-0.0660656472652602,0.01902065379935136
2025-03-17,11513.7998046875,11752.9501953125,11456.349609375,11553.7001953125,275569,0.0,0.003465440714780943,0.16661251472252245,-0.021682489409561752,0.009559724888595467,1.0434230857623146,0.020799401008731545,0.031898854778750874
2025-03-18,11553.7001953125,11553.7001953125,11553.7001953125,11553.7001953125,0,0.0,0.0,0.16614816083407905,-0.021682489409561752,0.0027999349843026433,1.0385478086405118,0.0,0.027281320268322418
2025-03-19,11700.0,11714.4501953125,11547.0,11615.5498046875,476555,0.0,0.005353229556717576,0.1686849388172362,-0.021682489409561752,0.002703306442914055,1.0280789709511,0.031735075323866616,0.010223364541218638
2025-03-20,11699.900390625,11765.0,11588.0,11730.2001953125,379421,0.0,0.009870423058126132,0.17171950159360358,-0.021682489409561752,-0.007681078279764164,1.01352937650504,0.057479915744727744,-0.0007033128047803094
2025-03-21,11780.0,11921.7001953125,11705.7998046875,11732.7998046875,560565,0.0,0.0002216167952562298,0.17112823007512473,-0.021682489409561752,-0.018665621475319583,1.0092420528820987,0.0012950334506972125,-0.017953891446979342
2025-03-24,11779.9501953125,11990.0,11742.0498046875,11922.25,359033,0.0,0.0161470576900844,0.18408735407116553,-0.021682489409561752,-0.030912772730608773,0.9910306310810669,0.08771410124511414,-0.037002276468367956
2025-03-25,11951.400390625,12075.25,11800.0,11868.900390625,514283,0.0,-0.004474793715531833,0.1742752914758596,-0.021682489409561752,-0.026556815285219693,0.9935703446029926,-0.02567657997224395,-0.012874046981698029
2025-03-26,11807.0,11868.900390625,11710.0,11734.2998046875,478517,0.0,-0.011340611304128778,0.17540360860455217,-0.021682489409561752,-0.0101199050626406,1.0023642336922431,-0.06465437483189107,-0.003937192340530138
2025-03-27,11773.150390625,11898.0,11638.0,11721.9501953125,645787,0.0,-0.0010524368373532322,0.17485741185735168,-0.021682489409561752,0.0007038078018195559,1.000202378067256,-0.006018828518538996,-0.02047015994048962
2025-03-28,11699.0498046875,11745.9501953125,11400.099609375,11522.150390625,541795,0.0,-0.017044928647401925,0.17514921578152864,-0.021682489409561752,0.01828212676636265,1.0138211708731535,-0.09731660857389582,-0.016698305793816592
2025-04-01,11480.0,11545.7998046875,11290.0,11481.099609375,498244,0.0,-0.0035627708247413237,0.1745585412548608,-0.021682489409561752,0.03842405393511039,1.0154221195398756,-0.020410176408599826,-0.001933544652105712
2025-04-02,11481.099609375,11732.0,11410.0498046875,11716.099609375,452994,0.0,0.02046842271171556,0.15264147431018527,-0.021682489409561752,0.013041949654280183,0.9948009908240913,0.13409475677084837,-0.022080660576066946
