date,open,high,low,close,volume,dividend,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,rsi_14d
2025-02-25,268.1000061035156,274.45001220703125,266.79998779296875,267.6000061035156,230972,0.0,-0.0052044382768935415,0.39360959542742485,-0.036102182023909066,334116.35,296.35833570632985,0.010383235554562109,1.0407978042853931,-0.013222335545500691,40.13002798741589
2025-02-27,268.0,271.29998779296875,262.0,263.8500061035156,195107,0.0,-0.014013452595174392,0.3699230430909874,-0.036102182023909066,332277.05,296.0348697401327,-0.022958644583262466,1.0541974305090416,-0.03788207433432812,36.29975855126229
2025-02-28,261.04998779296875,264.8500061035156,250.75,253.1999969482422,444258,0.0,-0.04036387685772935,0.39270917544899514,-0.036102182023909066,344323.7,295.6086521004124,-0.09877207351156891,1.0939771021739255,-0.10278312388232078,20.670720881486844
2025-03-03,253.9499969482422,256.54998779296875,241.25,248.25,442265,0.0,-0.01954975121604774,0.3883607371540263,-0.036102182023909066,358406.7,295.1374217312541,-0.09612231743370991,1.1099295010139336,-0.05033915337559639,20.570375235134705
2025-03-04,244.5500030517578,255.5,243.5,252.3000030517578,403663,0.0,0.016314211688853275,0.39422732646789127,-0.036102182023909066,366458.3,294.71117875931884,-0.06208177304179252,1.08669241287416,0.04138275096552576,28.320958532125488
2025-03-05,250.0,265.0,250.0,264.45001220703125,484266,0.0,0.048156991709512376,0.43247962519363387,-0.036102182023909066,382863.55,294.4100726244702,-0.01177127737159267,1.0332576558208195,0.11135088866774287,39.161261881796854
2025-03-06,265.75,284.6000061035156,263.75,276.1499938964844,1185197,0.0,0.04424269672672021,0.4595036987251112,-0.036102182023909066,426294.9,294.22838029881865,0.046617348904449685,0.98800472942351,0.09628365535823674,47.111342986940194
2025-03-07,276.1499938964844,276.1499938964844,270.0,270.75,363533,0.0,-0.01955456822681867,0.46354933125596876,-0.036102182023909066,425943.5,293.99476457445235,0.06931280909669724,1.00466297322253,-0.04218443752683659,51.46298836511593
2025-03-10,271.8500061035156,278.8999938964844,264.1000061035156,265.79998779296875,613666,0.0,-0.01828259356244233,0.4646012654432257,-0.036102182023909066,387127.85,293.7142195318505,0.07069481487600715,1.0166949300633061,-0.03935114802472483,48.21917800821167
2025-03-11,267.1000061035156,267.1000061035156,260.0,263.0,344908,0.0,-0.010534190826034462,0.4243456455379158,-0.036102182023909066,376054.05,293.4086054071555,0.04240981695924573,1.0211026615969583,-0.024824552080498958,48.97050299668224
