date,open,high,low,close,volume,dividend,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,rsi_14d
2021-03-01,117.5,119.5999984741211,116.0500030517578,116.3499984741211,264879,0.0,-0.0034261372666287704,0.36230522823577993,-0.022348145249398425,655370.1,103.59081490584103,0.0152705063115266,0.9957241161065996,-0.009456493876025936,41.41413528308617
2021-03-02,117.0,119.0,116.5500030517578,117.5,272027,0.0,0.009883984022008407,0.3508317300157335,-0.021973478933729362,653627.85,103.7292147575242,0.037985893707434215,0.9905319084005153,0.028173004020574502,42.28856012969271
2021-03-03,117.5,123.4499969482422,117.25,120.5,1111207,0.0,0.025531914893617058,0.35188492381959924,-0.021938635421860198,624796.95,103.89608824252397,0.03924107953007394,0.9690248893009676,0.07255756765848491,56.23472683334496
2021-03-04,119.3000030517578,125.5,118.5500030517578,120.9499969482422,963604,0.0,0.003734414508234085,0.2987412819009449,-0.021903791909991033,653350.15,104.06577887641173,0.03775198439531957,0.9688507803934079,0.012500496615219577,58.86699290909106
2021-03-05,121.5,121.8499984741211,115.5,116.8000030517578,479900,0.0,-0.03431164945180032,0.3258704192337129,-0.028342806300103458,660225.15,104.19248757467389,0.00042829166387825524,1.005393802162228,-0.10529230753611016,53.46756943395867
2021-03-08,117.4499969482422,119.5,116.5500030517578,117.0500030517578,220072,0.0,0.0021404109029792284,0.32421413169020613,-0.02796813998443439,549643.55,104.3204230520578,0.0060163694612545005,1.0026056907394862,0.00660184312695539,49.01962217300399
2021-03-09,118.1999969482422,120.9499969482422,115.5500030517578,117.0999984741211,193371,0.0,0.00042712875745243295,0.2476371596311724,-0.027593473668765328,451587.75,104.44758300650619,-0.0034042683053523426,1.001046119657966,0.001724816828138494,50.249995928918636
2021-03-10,118.0999984741211,120.0,116.8000030517578,118.0500030517578,270566,0.0,0.008112763364780617,0.24665005454221256,-0.02721880735309626,421574.9,104.58293046964303,-0.02033192488167801,0.9919101760803463,0.0328917950207638,48.578822734483495
2021-03-12,118.8499984741211,120.5500030517578,117.8000030517578,119.0,430981,0.0,0.008047411467034804,0.24704329633976954,-0.0268441410374272,404866.9,104.72638389780579,-0.016122339788703366,0.9844327686213646,0.032574901891763236,55.49598811599467
2021-03-15,120.25,122.9000015258789,116.5500030517578,119.5999984741211,634970,0.0,0.005042003984210952,0.234910949306506,-0.026469474721758132,418690.05,104.87438006274425,0.023972562921274365,0.9804347906518993,0.021463468537592876,64.79290421406597
