date,open,high,low,close,volume,dividend,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,rsi_14d
2025-02-25,1211.0,1221.0,1201.5,1204.0,11552182,0.0,-0.008686384590165241,0.1768091952142438,-0.020602388263847415,9400065.45,1229.6563110495035,-0.017463704902646038,1.0314015790869628,-0.049128576646446376,17.654827867053243
2025-02-27,1212.800048828125,1215.0,1200.6500244140625,1207.0999755859375,11509215,0.0,0.0025747305531043096,0.17714731996129243,-0.020602388263847415,9512063.25,1229.4318699006124,-0.016579067493960875,1.0268494926917087,0.014534402260914127,17.474868655796513
2025-02-28,1202.0,1217.3499755859375,1193.300048828125,1200.0999755859375,23007298,0.0,-0.0057990225677886365,0.16880224690091516,-0.020602388263847415,10333197.55,1229.1400102556902,-0.0266829070673662,1.0301308413534476,-0.034353939776958026,18.76173035106393
2025-03-03,1204.0,1206.449951171875,1156.0,1171.25,17944938,0.0,-0.02403964350707677,0.17953922095356692,-0.020602388263847415,10874521.8,1228.5639902531461,-0.04632986466063782,1.0515197428211713,-0.13389632661005432,16.339866003185534
2025-03-04,1162.199951171875,1174.0,1159.550048828125,1161.9000244140625,11377373,0.0,-0.00798290338180363,0.17975492584594585,-0.020602388263847415,10980773.2,1227.900667209971,-0.043349407021030184,1.0563667036656288,-0.044409925904038396,17.706957610611468
2025-03-05,1161.0,1183.0,1157.0,1175.5999755859375,8664095,0.0,0.011790989658326145,0.18313883012487422,-0.020602388263847415,10579424.5,1227.3802623181896,-0.023588060144570155,1.0393947987205252,0.0643827909485852,31.102869147950997
2025-03-06,1197.0,1213.949951171875,1185.1500244140625,1209.5999755859375,14468014,0.0,0.028921402437979582,0.1770869787460894,-0.020602388263847415,10797223.8,1227.2033440422467,0.0020710794884959416,1.0073433579811895,0.16331748957258302,47.70965306310046
2025-03-07,1216.0,1254.800048828125,1212.0,1249.800048828125,16474965,0.0,0.03323418820566215,0.2162347763797206,-0.020602388263847415,11123172.0,1227.4281868759372,0.041413277437925,0.9736717504225774,0.15369492005463462,58.994213165612734
2025-03-10,1245.0,1258.0,1235.4000244140625,1238.4000244140625,11931051,0.0,-0.009121478611520129,0.21759145528864537,-0.020602388263847415,11281510.4,1227.5373593887546,0.057331931196638264,0.981492232655523,-0.04192020399063013,53.6545759119353
2025-03-11,1240.0,1249.5,1229.75,1247.300048828125,10089838,0.0,0.007186712078977475,0.21638505362765661,-0.020602388263847415,11437453.7,1227.7340030647683,0.07350032069852919,0.974234312942741,0.03321260700019466,55.67064397386169
2025-03-12,1258.0,1263.0,1244.0,1257.050048828125,11977555,0.0,0.007816884164448146,0.2152984649291901,-0.020602388263847415,11593345.75,1228.0257050126625,0.06928383373059499,0.9675609263922987,0.036307197099371254,57.370540412803564
2025-03-13,1260.050048828125,1264.1500244140625,1243.8499755859375,1247.9000244140625,9505270,0.0,-0.0072789658793558365,0.21002309091531945,-0.020602388263847415,11012026.55,1228.2234594345668,0.0316634007946075,0.9759115191272995,-0.03465792975931104,53.644819590058695
2025-03-17,1242.1500244140625,1257.4000244140625,1233.0999755859375,1238.8499755859375,16640917,0.0,-0.007252222654915319,0.20459610164730246,-0.020602388263847415,11418511.6,1228.329195913685,-0.008761460085119133,0.9839589397968737,-0.03544653217758715,52.56470422231684
2025-03-18,1238.8499755859375,1238.8499755859375,1238.8499755859375,1238.8499755859375,0,0.0,0.0,0.20457018085326245,-0.020602388263847415,10903604.35,1228.4338802885334,0.00036333265746502086,0.9848307150727993,0.0,56.23074650989306
2025-03-19,1241.050048828125,1253.25,1238.800048828125,1247.1500244140625,16162399,0.0,0.006699801422040075,0.20553343337059096,-0.020602388263847415,11303390.15,1228.6201105783398,-0.00012027932990421597,0.9791684908942292,0.03259713510447967,61.193254712176234
2025-03-20,1251.8499755859375,1273.0,1250.050048828125,1269.1500244140625,15971477,0.0,0.01764021935559512,0.21268817042809865,-0.020602388263847415,11768301.5,1229.0233933030734,0.009625691194409924,0.9639187517559359,0.08293934961542714,64.65863588515438
2025-03-21,1275.0,1281.0,1270.0999755859375,1276.3499755859375,21780769,0.0,0.005673049705214428,0.2130431520617739,-0.020602388263847415,12546473.05,1229.4943045695695,0.02279826157166176,0.9603968597893296,0.026628640179352354,67.99621540258494
2025-03-24,1291.0,1306.0,1284.25,1302.0999755859375,20299319,0.0,0.02017471735225196,0.22210389796430602,-0.020602388263847415,13171659.9,1230.2167490572947,0.05105541530166691,0.9440576993875297,0.09083458970696817,81.3412931356534
2025-03-25,1307.699951171875,1307.699951171875,1282.5999755859375,1285.449951171875,13713899,0.0,-0.012787055315449214,0.2285199569152471,-0.020602388263847415,13512153.6,1230.7663331579374,0.037615511566602144,0.9585145672446058,-0.055955965196650165,78.59287868738409
2025-03-26,1291.0,1293.800048828125,1268.75,1273.050048828125,12074747,0.0,-0.009646351717113255,0.23125586632789602,-0.020602388263847415,13757266.05,1231.1870666471932,0.020767368726333446,0.9701484280205653,-0.04171289339880715,72.68917756581092
2025-03-27,1278.1500244140625,1285.0,1271.300048828125,1278.199951171875,15028056,0.0,0.004045325907249708,0.22652379137079887,-0.020602388263847415,13931059.75,1231.6548565429612,0.007130698958927706,0.9691421910046152,0.017858281923442906,68.45077094811991
2025-03-28,1280.0,1295.75,1269.0,1275.0999755859375,18147129,0.0,-0.002425266550116323,0.22363691271586356,-0.020602388263847415,14262955.45,1232.0871462846824,-0.0009793552112743464,0.9741647909999398,-0.010844660714624867,58.501323604542854
2025-04-01,1264.5999755859375,1277.9000244140625,1249.300048828125,1252.5999755859375,12099648,0.0,-0.01764567518688931,0.2346269409428959,-0.020602388263847415,13717572.95,1232.2912540389239,-0.038015514114210225,0.9937590016624601,-0.07520736691150182,54.44026256780178
2025-04-02,1247.550048828125,1255.550048828125,1243.9000244140625,1251.1500244140625,10142590,0.0,-0.001157553249349852,0.2332631057694838,-0.020602388263847415,13327455.55,1232.478903495393,-0.026683206706370144,0.998103727030044,-0.00496243585502722,51.262702446139535
2025-04-03,1233.050048828125,1251.800048828125,1233.050048828125,1248.699951171875,7434366,0.0,-0.0019582569591004573,0.2138317671873573,-0.020602388263847415,13130305.2,1232.6403069548605,-0.019127368699027092,1.003537717450278,-0.009157932393671553,47.12362955352835
2025-04-04,1241.0999755859375,1245.449951171875,1193.1500244140625,1204.699951171875,17908652,0.0,-0.035236647489820916,0.24955152548154635,-0.020602388263847415,13592533.05,1232.3622934644825,-0.05750274042227432,1.041398313611788,-0.1411998825085433,37.99997148735221
