date,open,high,low,close,volume,dividend,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,rsi_14d
2021-03-01,101.69999694824219,101.69999694824219,97.5,98.80000305175781,510963,0.0,-0.001011106901701364,0.2250649786179519,-0.03182189500270641,834198.7,95.05159923590655,0.029166698455810547,0.9726467334068782,-0.004492510842802473,60.937523946581216
2021-03-02,98.94999694824219,114.4000015258789,98.94999694824219,109.0,5609320,0.0,0.10323883231965869,0.4040522730380708,-0.03182189500270641,1059668.5,95.19038929326072,0.11680329614863316,0.8893577995650265,0.25550859790571034,80.36648998902265
2021-03-03,117.0,117.9000015258789,107.5,108.9000015258789,3784765,0.0,-0.0009174171937714748,0.37755373632657097,-0.03182189500270641,1215542.5,95.32680334532658,0.11520737147165905,0.8972910815741998,-0.0024298982666641072,81.21694876987578
2021-03-04,105.19999694824219,111.5,104.8499984741211,109.4000015258789,1443989,0.0,0.00459136816339889,0.3772386184809556,-0.03182189500270641,1197301.85,95.46683516801865,0.1072874306346745,0.8995429511543713,0.012170991560135734,92.96189207878095
2021-03-05,109.75,110.6500015258789,106.0999984741211,108.3499984741211,861220,0.0,-0.009597833977263992,0.37788714035432974,-0.03182189500270641,1200526.65,95.59502584768137,0.09555102934724857,0.9141209180538235,-0.025398677801731245,90.83095197076466
2021-03-08,110.0,111.44999694824219,106.19999694824219,106.8499984741211,553285,0.0,-0.013844024191271842,0.3840329458385263,-0.03182189500270641,1198541.35,95.70701562505889,0.08147768394446486,0.9318437187233198,-0.036049052511766246,82.72980993321893
2021-03-09,107.9000015258789,108.75,102.1500015258789,103.05000305175781,447450,0.0,-0.03556383225670923,0.40937040606761815,-0.03182189500270641,1170611.6,95.78008017656833,-0.05458712796552467,0.9692867275191993,-0.08687445614251454,69.39253557175606
2021-03-10,103.0,105.69999694824219,102.55000305175781,103.94999694824219,318081,0.0,0.008733564966828311,0.4097690260665558,-0.03182189500270641,1159806.55,95.86137288076411,-0.04545458685287895,0.964045242347596,0.02131338436564978,69.60557201824406
2021-03-12,103.05000305175781,104.8499984741211,100.0,101.0,525160,0.0,-0.028378999854237863,0.4242690775353157,-0.03182189500270641,1159818.1,95.91250349886596,-0.07678246260254262,0.9941336641217222,-0.0668891528701714,60.90536120095576
2021-03-15,102.30000305175781,102.30000305175781,98.4000015258789,98.80000305175781,436479,0.0,-0.02178214800239786,0.43199752283641635,-0.03182189500270641,1129494.95,95.9412348377007,-0.08814024510248841,1.0183198089191943,-0.05042192685541578,55.343520713075726
2021-03-16,99.1500015258789,106.44999694824219,99.1500015258789,100.5,1268250,0.0,0.01720644631307966,0.42512065829632734,-0.03182189500270641,1158531.0,95.98659568508677,-0.05942909279178932,1.0042786100017491,0.04047426435895144,55.51331474853764
2021-03-17,100.5,104.44999694824219,98.5,99.75,590582,0.0,-0.007462686567164201,0.4253042654714408,-0.03182189500270641,1160829.4,96.02404249419038,-0.03202331833120231,1.0141604048267643,-0.01754670008640748,53.88888908041546
2021-03-18,100.80000305175781,102.5,95.0,96.8499984741211,516217,0.0,-0.029072697001292336,0.43849106978360924,-0.03182189500270641,1153134.45,96.03226096165238,-0.06830205562830616,1.0456117904042619,-0.06630168398326235,46.60868476424009
2021-03-19,96.0,97.94999694824219,93.0,96.9000015258789,476633,0.0,0.0005162937795106792,0.4381412659384363,-0.03182189500270641,1149999.9,96.0408951961223,-0.04059404429822866,1.0457946211115972,0.00117837283968476,46.51567699261134
2021-03-22,97.3499984741211,102.44999694824219,96.05000305175781,101.94999694824219,498381,0.0,0.05211553501384203,0.47185715782103876,-0.03182189500270641,1115481.35,96.09969222848171,0.03188252833184846,0.9970574146566697,0.11044769173371524,54.6805285930408
2021-03-23,102.75,103.8499984741211,99.55000305175781,101.5999984741211,434157,0.0,-0.003433040555153477,0.4724560262008949,-0.03182189500270641,1116190.15,96.15442164386121,0.01094525844896621,1.0032480495670355,-0.007266370396617603,34.45376514709217
2021-03-24,100.9000015258789,100.9000015258789,96.5,97.1500015258789,261500,0.0,-0.04379918321923659,0.49979524481882437,-0.03182189500270641,1014361.45,96.16432791134399,-0.026065147610236483,1.0489706521581212,-0.08763425182000534,29.129646539360564
2021-03-25,97.0999984741211,97.9000015258789,94.05000305175781,94.9000015258789,417811,0.0,-0.02316006139640303,0.5031202130853707,-0.03182189500270641,1024811.85,96.15174754929956,-0.02013419699498742,1.0723919791509313,-0.04603285722520673,25.752490916788446
2021-03-26,95.80000305175781,97.69999694824219,95.5999984741211,96.19999694824219,169126,0.0,0.013698581680304578,0.5056447393876835,-0.03182189500270641,1013270.4,96.15222764282137,-0.007223989335539582,1.056548891651967,0.027091315982007202,29.85072422438509
2021-03-30,98.0,99.6500015258789,96.19999694824219,98.25,262549,0.0,0.021309803708837505,0.5095635733679836,-0.03182189500270641,969295.9,96.17310099960922,-0.03629227129963131,1.0341730287663506,0.041819714760598446,35.99347582822287
2021-03-31,98.19999694824219,98.94999694824219,96.1500015258789,97.05000305175781,349559,0.0,-0.012213709396867056,0.5113576049567673,-0.03182189500270641,961225.7,96.18182639316294,-0.044783420184029143,1.0460587005046484,-0.02388486851398441,39.32383394470028
2021-04-01,97.25,100.69999694824219,97.25,99.94999694824219,193831,0.0,0.02988144054913411,0.5219950727555022,-0.03182189500270641,690451.25,96.21932062754185,0.02882136261848034,1.0111806204060472,0.05724467822837769,43.35547613655856
2021-04-05,99.9000015258789,99.9000015258789,96.5,97.5,247782,0.0,-0.02451222634364747,0.37329091371899165,-0.03182189500270641,513602.1,96.23206370587478,0.027397243754649248,1.0307435881785858,-0.06566520851736525,44.08783275296226
2021-04-06,97.94999694824219,104.75,97.0,103.8499984741211,1622904,0.0,0.06512818947816501,0.4455777055255152,-0.03182189500270641,522547.85,96.30786405182748,0.07952184790603245,0.9650457502875992,0.14616572420223642,57.48147953505879
2021-04-07,105.0,106.4000015258789,103.4000015258789,104.0,573302,0.0,0.0014444056628106772,0.4451342820040227,-0.03182189500270641,508151.95,96.38440271797846,0.058524173027989734,0.9615624977992131,0.0032448761840115073,55.43478545816844
2021-04-08,104.5,105.0,101.19999694824219,101.6500015258789,580260,0.0,-0.022596139174241303,0.45016492905573247,-0.03182189500270641,509500.7,96.43679673596752,0.047398231112552036,0.9812346131476719,-0.05019524448447505,52.81065457555606
2021-04-09,101.94999694824219,102.8499984741211,100.30000305175781,101.19999694824219,229637,0.0,-0.0044270002054269675,0.448394585675142,-0.03182189500270641,498610.05,96.48419176295533,0.012506253508414833,0.9846838203907788,-0.009873000808052314,56.937800069647004
