date,open,high,low,close,volume,dividend,daily_return,rolling_volatility_ann,var_95_threshold,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,target_forward_return_5d
2025-02-25,515.0,523.5499877929688,504.45001220703125,508.25,154368,0.0,-0.017209753444653364,0.5239151337312746,-0.029743845486601316,-0.012985747375338197,1.07088047521078,-0.032848360370129996,0.017314289804168714
2025-02-27,506.0,507.95001220703125,492.1000061035156,501.5,232718,0.0,-0.013280865715691093,0.5242830094568207,-0.029743845486601316,0.09282151105277925,1.0821684999931844,-0.025331481705149688,0.0354934951006356
2025-02-28,494.0,500.04998779296875,474.95001220703125,480.29998779296875,494451,0.0,-0.042273204799663455,0.5375666053926063,-0.029743845486601316,0.1228398948563616,1.12055489193041,-0.07863807682474785,0.08255262423856946
2025-03-03,475.0,495.0,453.6499938964844,489.70001220703125,472499,0.0,0.019571152723231622,0.4733182873712244,-0.029743845486601316,0.07576061805416634,1.0909638338353123,0.041348819244741625,0.05166425804023178
2025-03-04,487.1499938964844,503.8999938964844,476.29998779296875,499.0,233915,0.0,0.01899119371276825,0.4815945004860739,-0.029743845486601316,0.03637279441695895,1.0648396860860392,0.039433991250440996,0.032164304194326254
2025-03-05,500.0,520.2000122070312,499.95001220703125,517.0499877929688,275668,0.0,0.036172320226390386,0.4991637419629394,-0.029743845486601316,-0.017019607389474167,1.0215259952165814,0.07246583928449199,-0.003577943389640348
2025-03-06,522.25,525.9000244140625,514.75,519.2999877929688,158272,0.0,0.004351610198472633,0.4718508490579446,-0.029743845486601316,-0.034276888525684224,1.0114577582760935,0.009222427203291883,-0.01704212554202056
2025-03-07,518.75,528.7000122070312,510.79998779296875,519.9500122070312,260498,0.0,0.001251732003355377,0.47233061595187004,-0.029743845486601316,-0.07625737760012752,1.0044667561778506,0.002650118231975343,-0.009424029808679846
2025-03-10,515.0499877929688,537.9000244140625,508.6000061035156,515.0,286011,0.0,-0.0095201694217103,0.4718303269129425,-0.029743845486601316,-0.049126189889259764,1.0081067990793764,-0.020177103244352998,9.706367566741925e-05
2025-03-11,507.29998779296875,519.0,502.5,515.0499877929688,165930,0.0,9.706367566741925e-05,0.47218268709838623,-0.029743845486601316,-0.031162000142441082,1.0038151891449971,0.0002055638130407701,0.02892927825881575
2025-03-12,518.7000122070312,519.5499877929688,507.1000061035156,515.2000122070312,103515,0.0,0.00029128126903832374,0.4617173737400247,-0.029743845486601316,0.0035907910366936857,1.0013926399090538,0.0006308648521718494,0.029503128584793537
2025-03-13,514.0499877929688,517.0499877929688,502.6000061035156,510.45001220703125,250013,0.0,-0.009219720278444421,0.44522834955150065,-0.029743845486601316,0.017337595012825835,1.0079488439431112,-0.02070784594164639,0.04593987980456804
2025-03-17,515.0999755859375,529.0,512.5999755859375,515.0499877929688,223122,0.0,0.009011608337609056,0.44660175046172546,-0.029743845486601316,0.009513687079305555,0.997524532862701,0.020178174685859453,0.05067476408054006
2025-03-18,515.0499877929688,515.0499877929688,515.0499877929688,515.0499877929688,0,0.0,0.0,0.44333736871103185,-0.029743845486601316,-9.705425522477107e-05,0.997121656975659,0.0,0.04863603220400026
2025-03-19,529.9500122070312,539.9000244140625,519.7999877929688,529.9500122070312,591786,0.0,0.02892927825881575,0.4493469410085326,-0.029743845486601316,-0.028115905407775754,0.9702566027552947,0.06438071560046352,0.011227497065717129
