date,open,high,low,close,volume,split_ratio,dividend,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,rsi_14d
2025-02-25,531.875,543.5999755859375,520.0,521.0999755859375,105916,0.0,0.0,-0.020258565290834363,0.4753941787823533,-0.04080472161157962,267537.5,711.6201971096185,0.036499205541397295,1.0208237913433849,-0.04261424680584224,33.979719604881694
2025-02-27,534.9500122070312,547.0,496.2250061035156,501.2000122070313,176160,0.0,0.0,-0.03818837902751804,0.3695839309799447,-0.04080472161157962,260864.9,709.5264639265082,0.0014486359851619834,1.05581602491871,-0.10332802590464912,28.834817922490686
2025-02-28,497.6749877929688,505.375,476.5,499.7250061035156,339008,0.0,0.0,-0.0029429490574441886,0.36705770162695434,-0.04080472161157962,269388.9,707.4388872317521,-0.01880027865491607,1.05223622440296,-0.008017673963039216,33.198903063754955
2025-03-03,500.0249938964844,504.5,477.75,489.8500061035156,194754,0.0,0.0,-0.019760868236308404,0.36080894912869177,-0.04080472161157962,272690.9,705.2738237379389,-0.06396599689042315,1.065509844776828,-0.05476823048969852,30.8359624716971
2025-03-04,481.1000061035156,534.875,481.1000061035156,529.4500122070312,230302,0.0,0.0,0.08084108525079259,0.4711897349137239,-0.04080472161157962,243524.3,703.5243330759398,-0.004559318999706186,0.9850882828065544,0.1715680065694019,52.22296334375955
2025-03-05,520.0250244140625,522.0,502.0,514.6749877929688,607286,0.0,0.0,-0.027906363345752472,0.4438419342069145,-0.04080472161157962,263291.6,701.6452351129252,-0.012329664352304648,1.0110944080802282,-0.0628745518759327,45.0007852641287
2025-03-06,515.5250244140625,535.5250244140625,513.5,522.1749877929688,145988,0.0,0.0,0.01457230325522807,0.4472974031751749,-0.04080472161157962,253512.0,699.8594615077516,0.04184951132298309,0.9931153586980724,0.03257855472891171,52.41194266782764
2025-03-07,517.5499877929688,534.5,514.0250244140625,516.7249755859375,179182,0.0,0.0,-0.010437137615622594,0.4254784121282951,-0.04080472161157962,252550.0,698.0372278169873,0.03401864880642047,0.9995380032085908,-0.024530357058801605,51.10675860195089
2025-03-10,522.4749755859375,522.4749755859375,490.0,493.7749938964844,123356,0.0,0.0,-0.044414306979121965,0.4481963219844788,-0.04080472161157962,224090.8,696.0047677779773,0.008012631916022306,1.0413852604252196,-0.09909565029787001,45.879600897428375
2025-03-11,486.3999938964844,516.8250122070312,479.5,512.9749755859375,162070,0.0,0.0,0.038884070531684856,0.4602186569721805,-0.04080472161157962,213157.8,694.1835758158676,-0.03111726554206118,0.9999245054661849,0.08449042449213677,52.76089539955548
