date,open,high,low,close,volume,dividend,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,rsi_14d
2025-02-25,1175.300048828125,1203.3499755859375,1170.0999755859375,1188.0,221086,0.0,0.0010955160374290784,0.43393137216177174,-0.03430332425151576,380742.15,1475.154913840626,0.01464749948470545,1.0412247474747474,0.002524629659121231,27.278777984586696
2025-02-27,1203.0,1203.0,1185.0,1196.949951171875,238274,0.0,0.0075336289325547146,0.4326451188822626,-0.03430332425151576,364366.5,1472.3867052568576,-0.0056490540628244545,1.0291533024510744,0.017412952162475105,30.690048463504823
2025-02-28,1190.3499755859375,1219.5999755859375,1155.550048828125,1200.5999755859375,329762,0.0,0.003049437790184184,0.4324666893168663,-0.03430332425151576,365316.2,1469.6823596879929,0.0026724161571993754,1.0208104417601267,0.007051266132169579,34.306428118915136
2025-03-03,1200.5999755859375,1208.0,1143.5,1189.699951171875,292193,0.0,-0.009078814455866446,0.42414449842593777,-0.03430332425151576,364087.35,1466.8964650758924,-0.0013850039433215278,1.0223375957903644,-0.021405002954203636,46.86647855453842
2025-03-04,1185.0,1207.0999755859375,1170.0,1191.949951171875,143256,0.0,0.0018912331615914546,0.3960261672218661,-0.03430332425151576,357480.8,1464.160678867892,0.004424033214811773,1.014004392872351,0.004775525635346896,68.78547010155009
2025-03-05,1175.0,1213.550048828125,1175.0,1199.199951171875,145218,0.0,0.00608247015142882,0.39371597962429,-0.03430332425151576,349484.25,1461.524253716688,0.009427568326494162,0.9999020444742313,0.015448877647141326,69.79378936970234
2025-03-06,1204.0,1227.449951171875,1193.050048828125,1211.3499755859375,179725,0.0,0.010131775274164534,0.37181468094412357,-0.03430332425151576,331373.0,1459.0349574168795,0.012030598606035392,0.9851983381870227,0.027249529190031763,69.91783438538152
2025-03-07,1220.0,1271.9000244140625,1210.4000244140625,1241.8499755859375,547323,0.0,0.02517852034070245,0.35542370803547163,-0.03430332425151576,343131.8,1456.8739128215468,0.034357821788117526,0.9582014767180745,0.07084085575344076,73.96325305133747
2025-03-10,1250.0,1258.949951171875,1200.0,1207.699951171875,179261,0.0,-0.02749931560609775,0.3649265422161434,-0.03430332425151576,333192.0,1454.3945699195601,0.015129865292731637,0.9820071414723923,-0.07535575429932022,66.78254459914257
2025-03-11,1190.0,1229.550048828125,1175.3499755859375,1224.699951171875,157675,0.0,0.014076344031896504,0.36568416267631854,-0.03430332425151576,318697.4,1452.1090513250558,0.027475985856454388,0.9692884158687625,0.038493172753079556,65.12213527565564
2025-03-12,1226.9000244140625,1234.449951171875,1199.0,1217.1500244140625,80932,0.0,-0.0061647154885473565,0.2838041644304598,-0.03430332425151576,291696.1,1449.7711505597724,0.014968373893483156,0.9785091816751017,-0.021721722384523592,54.38769411738397
2025-03-13,1224.0,1224.3499755859375,1190.0999755859375,1203.550048828125,73736,0.0,-0.011173623064654303,0.213054810418255,-0.03430332425151576,253068.0,1447.3211893485125,-0.0064390365418875994,0.9921398608973574,-0.05244482637247537,51.922482479694615
2025-03-17,1211.949951171875,1229.0,1194.5999755859375,1223.5,150177,0.0,0.0165759215342145,0.21837594135174715,-0.03430332425151576,246967.8,1445.094112837582,-0.014776322379262852,0.9788373329028529,0.07590543478624613,59.24648512023516
