date,open,high,low,close,volume,dividend,daily_return,rolling_volatility_ann,var_95_threshold,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,target_forward_return_5d
2025-02-25,319.29998779296875,320.25,309.3500061035156,309.8500061035156,4356438,0.0,-0.02959593501638469,0.372960230729457,-0.03223773682722328,0.032596436677627016,1.0671373113703952,-0.07935412889722311,0.052606059292841234
2025-02-27,311.0,312.79998779296875,302.29998779296875,307.0,4865436,0.0,-0.009198018548895792,0.3724296966529812,-0.03223773682722328,0.05732901010917146,1.0697801372515652,-0.024697327803300688,0.10472310715467215
2025-02-28,305.0,306.0,292.45001220703125,293.75,6517549,0.0,-0.04315960912052119,0.3839284484551733,-0.03223773682722328,0.1291915309175531,1.1070553264212102,-0.11241575916040206,0.13174472240691482
2025-03-03,295.0,298.8999938964844,287.54998779296875,297.79998779296875,3792065,0.0,0.013787192486702127,0.3797477531325169,-0.03223773682722328,0.08462059516453158,1.084100115696263,0.03630618485536923,0.09402283797091915
2025-03-04,294.1000061035156,316.3999938964844,290.1000061035156,315.20001220703125,7276713,0.0,0.05842855986333695,0.4296263775907865,-0.03223773682722328,0.013007536253661467,1.0227157032103678,0.13599853628867273,0.0460025362894847
2025-03-05,314.04998779296875,334.5,314.04998779296875,326.1499938964844,12406494,0.0,0.03473978827850077,0.4020258587047868,-0.03223773682722328,-0.04997696795340778,0.9872221592709766,0.08641182317551481,0.0036793261673710997
2025-03-06,334.70001220703125,342.3999938964844,331.79998779296875,339.1499938964844,12790937,0.0,0.039858961346864286,0.41490343686119513,-0.03223773682722328,-0.09479579677155237,0.9488279729084166,0.09606804100665618,-0.045555010961223164
2025-03-07,338.8999938964844,339.04998779296875,330.1499938964844,332.45001220703125,3825464,0.0,-0.019755216895265826,0.4092027697577662,-0.03223773682722328,-0.1164085149226316,0.9663482921631377,-0.04827732819156367,-0.020905435258950056
2025-03-10,336.5,344.0,324.25,325.79998779296875,7154245,0.0,-0.020003080673437368,0.4142809333995771,-0.03223773682722328,-0.08594229910712192,0.9835098616367801,-0.04828385421084707,-0.0009207728797073766
2025-03-11,324.0,333.8999938964844,320.5,329.70001220703125,6272107,0.0,0.011970609454230008,0.41715983303114995,-0.03223773682722328,-0.04397937356124482,0.9705717024216906,0.028695498030801937,-0.005156239442186461
2025-03-12,334.54998779296875,343.0,325.79998779296875,327.3500061035156,8497676,0.0,-0.007127710089497863,0.4158655724733537,-0.03223773682722328,-0.003665838352395756,0.9771345546890186,-0.017139456569370142,0.028104418872513692
2025-03-13,327.3500061035156,328.3999938964844,323.0,323.70001220703125,4696394,0.0,-0.01115012625150269,0.4089467862837396,-0.03223773682722328,0.047729320688352894,0.9881139647187773,-0.02726546913395159,0.1027185627003746
