date,open,high,low,close,volume,dividend,daily_return,rolling_volatility_ann,var_95_threshold,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,target_forward_return_5d
2025-02-25,558.6500244140625,567.8499755859375,548.0,550.0499877929688,758313,0.0,-0.02404185305168216,0.6268482446107593,-0.041677534177222156,0.0299972736409011,1.064671407150828,-0.038353545495011264,-0.08962819541325873
2025-02-27,552.7999877929688,555.2000122070312,520.3499755859375,524.0,1000340,0.0,-0.04735930982835257,0.6151550553562994,-0.041677534177222156,0.07366407554568233,1.1070133471306953,-0.07698759629154955,0.022423664122137366
2025-02-28,523.5499877929688,524.0,481.0,486.0,2009819,0.0,-0.0725190839694656,0.6457001272498633,-0.041677534177222156,0.18888886377154068,1.1746038994180812,-0.11231077676138586,0.26234567901234573
2025-03-03,486.75,493.79998779296875,460.29998779296875,478.29998779296875,1948272,0.0,-0.015843646516525256,0.5970580794001139,-0.041677534177222156,0.22977216646225918,1.1745295998821916,-0.02653618935545107,0.18304409372233676
2025-03-04,471.79998779296875,498.6499938964844,467.25,486.8500061035156,1113042,0.0,0.01787584889976568,0.6079767059601753,-0.041677534177222156,0.15764602756542434,1.138790154340526,0.02940219325921786,0.08914448670512387
2025-03-05,486.8500061035156,504.29998779296875,478.54998779296875,500.75,1077718,0.0,0.028550875469289583,0.6173173045286406,-0.041677534177222156,0.09845229714022707,1.0999101232184927,0.04624991847359718,0.03774343367760857
2025-03-06,514.0,546.75,512.2000122070312,535.75,8559064,0.0,0.06989515726410378,0.5959449696238962,-0.041677534177222156,-0.021931871208586085,1.0241390454340804,0.11728458105010793,-0.04013065795613624
2025-03-07,539.0,639.0,535.75,613.5,20832897,0.0,0.14512365842277175,0.7857232314636102,-0.041677534177222156,-0.2078239608801956,0.897991025593578,0.18470073273184826,-0.1703341483292583
2025-03-10,601.25,604.3499755859375,559.0,565.8499755859375,4846407,0.0,-0.07766915144916464,0.8332661827243113,-0.041677534177222156,-0.15472296822547493,0.9721834703824425,-0.09321049159000468,-0.10046828318242718
2025-03-11,555.0,565.5999755859375,526.0,530.25,4508844,0.0,-0.06291415944495493,0.8574495405810559,-0.041677534177222156,-0.08184817330784422,1.0339085227754081,-0.0733735989508896,0.06968413428954512
2025-03-12,535.8499755859375,540.0,508.1000061035156,519.6500244140625,2958755,0.0,-0.019990524443069257,0.8562298230458928,-0.041677534177222156,-0.03637067935361582,1.0514191686205199,-0.02334714777684906,0.09362063137351351
2025-03-13,524.2000122070312,528.9500122070312,511.1000061035156,514.25,1785235,0.0,-0.01039165623084759,0.8546113032618715,-0.041677534177222156,0.04180845892075835,1.0564754443430588,-0.012159511662892485,0.09975690382687175
2025-03-17,514.25,524.0,507.0,509.0,1264100,0.0,-0.010209042294603843,0.8445101565358245,-0.041677534177222156,0.2053045186640472,1.0617436107343212,-0.012088714498821573,0.13123769703923127
2025-03-18,509.0,509.0,509.0,509.0,0,0.0,0.0,0.8434991460803665,-0.041677534177222156,0.1116895394615669,1.053914532914377,0.0,0.09165034266024064
