date,open,high,low,close,volume,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,rsi_14d
2025-02-25,729.7999877929688,779.7000122070312,717.6500244140625,773.0999755859375,395169,0.0653895811692271,0.7231149895516603,-0.05889373739866138,413748.95,941.3066697502795,0.1332453265206337,1.0345524798937666,0.0904276376645062,34.27411680569293
2025-02-27,770.0,771.0999755859375,699.25,704.2999877929688,304453,-0.0889923554076234,0.7819184772487232,-0.05889373739866138,417344.35,938.9483943079182,-0.01873913229819746,1.1280562403920324,-0.11381282941749336,27.199558859927308
2025-02-28,700.9500122070312,700.9500122070312,642.4000244140625,663.3499755859375,502438,-0.05814285519918061,0.8025543180682585,-0.05889373739866138,418959.6,936.2061214848139,-0.07900038099835127,1.1858823014694257,-0.0724472514392016,25.271015222674507
2025-03-03,678.0,694.3499755859375,600.0,678.75,771403,0.023215534756686473,0.8072181878932371,-0.05889373739866138,424279.0,933.6443690322287,-0.06707441222149435,1.141093916357332,0.02875992490912224,29.513572392622507
2025-03-04,665.2000122070312,696.5999755859375,655.5499877929688,669.5,361983,-0.01362799263351755,0.6503714326415305,-0.05889373739866138,418671.9,931.0160668528035,-0.07737893271539775,1.143469001251517,-0.02095416824909543,31.14665726267441
2025-03-05,665.3499755859375,737.1500244140625,665.3499755859375,724.9000244140625,399018,0.08274835610763631,0.6879990558740606,-0.05889373739866138,422180.65,928.9651609578907,-0.06234633642996035,1.0470512796332871,0.12027393671314014,38.78615550959356
2025-03-06,729.0,745.8499755859375,725.8499755859375,735.6500244140625,271512,0.014829631173884028,0.6901618544341505,-0.05889373739866138,419349.8,927.0416272609373,0.04451233446607583,1.0226160198923246,0.021487178498398398,40.821824024986334
2025-03-07,735.75,766.75,730.2999877929688,742.9500122070312,342463,0.009923180249715946,0.6877353095203893,-0.05889373739866138,427054.2,925.2098698972169,0.11999704462306338,1.0037283652576345,0.014428778002322378,46.09236302967294
2025-03-10,748.7999877929688,751.0,701.0999755859375,705.5,273892,-0.05040717624565483,0.7026182575086573,-0.05889373739866138,433259.45,923.0237020375432,0.039410681399631775,1.0459319657421045,-0.07174190962097884,47.13285141180474
2025-03-11,698.0,726.9500122070312,675.0499877929688,714.4000244140625,395315,0.012615201153880262,0.7063462683823933,-0.05889373739866138,446805.15,920.9478445487524,0.06706501032720324,1.0240481198626539,0.017859797014532854,54.61450493463385
2025-03-12,715.0,722.5,685.25,690.25,213816,-0.03380462428437048,0.709891349896323,-0.05889373739866138,435417.9,918.6523436079689,-0.047799728579220546,1.0511372699896437,-0.0476194333303444,45.925925906875165
2025-03-13,694.25,714.9500122070312,680.5,703.5,278689,0.019195943498732326,0.7087739956380795,-0.05889373739866138,428945.55,916.5115242685862,-0.04370287955834662,1.023095238962831,0.027083306309253007,47.595118430256086
