date,open,high,low,close,volume,daily_return,rolling_volatility_ann,var_95_threshold,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,target_forward_return_5d
2025-02-25,1275.0,1300.0,1260.0,1284.050048828125,22167,0.005009215584680593,0.46632287679761125,-0.03466565773783709,-0.022740603661700498,1.051109736553253,0.010741946677934858,-0.03017795142437385
2025-02-27,1271.300048828125,1298.050048828125,1235.449951171875,1254.199951171875,23875,-0.02324683347311296,0.46201122994214394,-0.03466565773783709,0.004823831178172311,1.072438654847784,-0.05031659722396382,0.012438285970011398
2025-02-28,1244.5999755859375,1301.300048828125,1226.0,1264.8499755859375,126694,0.008491488461717323,0.4630567788560583,-0.03466565773783709,0.02830379058318022,1.060092132035715,0.018337898646718493,0.017749198462677418
2025-03-03,1240.0,1264.550048828125,1213.9000244140625,1236.199951171875,40196,-0.02265092696135007,0.467905864127099,-0.03466565773783709,0.0642695974602423,1.0791579498269468,-0.04840915281007418,0.0061479517525020455
2025-03-04,1233.949951171875,1282.300048828125,1203.0,1271.9000244140625,50474,0.028878882585576138,0.47604291659751025,-0.03466565773783709,0.004520795573259795,1.0415972025273996,0.06066445056118428,-0.04662319969326467
2025-03-05,1270.0,1270.0,1240.0,1245.300048828125,27549,-0.020913574239603938,0.41656170340025084,-0.03466565773783709,0.031116998699602716,1.0526137926018315,-0.05020522426051492,-0.027704166584162415
2025-03-06,1264.0,1278.0,1240.3499755859375,1269.800048828125,79340,0.019673973371361786,0.3814179629598311,-0.03466565773783709,-0.012285475709854499,1.02128875213152,0.05158113871428325,-0.07544498751322071
2025-03-07,1270.0999755859375,1324.800048828125,1261.5,1287.300048828125,62328,0.013781697375228719,0.379649911515929,-0.03466565773783709,-0.017439658502790056,0.9996717623963522,0.036301067362792754,-0.11011418831921904
2025-03-10,1274.449951171875,1300.0,1235.699951171875,1243.800048828125,40412,-0.03379165567468101,0.37290723833196443,-0.03466565773783709,-0.006110385397886553,1.0270903387014303,-0.09061678426963549,-0.07899179622365227
2025-03-11,1225.0,1240.0,1201.1500244140625,1212.5999755859375,66186,-0.025084476617912466,0.3635030722003784,-0.03466565773783709,0.04890322449451712,1.0459570676105052,-0.06900760363865314,-0.052407989474933525
2025-03-12,1216.6500244140625,1250.0,1201.0,1210.800048828125,54676,-0.0014843532855447483,0.35855700440263105,-0.03466565773783709,0.028493556829132016,1.0423603929236323,-0.0041397970920126455,-0.037702364199807326
2025-03-13,1220.0,1223.25,1159.050048828125,1174.0,35795,-0.03039316761156563,0.3444211199103531,-0.03466565773783709,0.08160140445325803,1.0695549518123801,-0.08824420156648476,-0.0038330494037478458
2025-03-17,1179.9000244140625,1186.3499755859375,1134.75,1145.550048828125,27861,-0.02423334852800252,0.34414911566863415,-0.03466565773783709,0.12373968308500127,1.090552538237614,-0.07041525524994571,0.002051394950697727
2025-03-18,1145.550048828125,1145.550048828125,1145.550048828125,1145.550048828125,0,0.0,0.3390989125722887,-0.03466565773783709,0.0857666586462178,1.086838166452942,0.0,-0.013094146358201164
2025-03-19,1163.199951171875,1174.9000244140625,1128.8499755859375,1149.050048828125,79325,0.003055300816913631,0.32361813134631146,-0.03466565773783709,0.05530649149932576,1.0793263701397364,0.00944106780974334,-0.01901579280948995
2025-03-20,1173.25,1184.0,1151.25,1165.1500244140625,64059,0.014011552936582072,0.3247840781191708,-0.03466565773783709,0.039179524917419384,1.0605630132251653,0.04314113113645182,-0.02450332423284496
2025-03-21,1171.0,1182.3499755859375,1158.4000244140625,1169.5,28492,0.0037334038491094734,0.32354366189761996,-0.03466565773783709,0.003847798204360764,1.0527383674663986,0.011539103290794226,-0.027789653698161554
2025-03-24,1173.0,1176.0,1142.0,1147.9000244140625,119873,-0.018469410505290718,0.32653688272273057,-0.03466565773783709,-0.0020471953445049262,1.0658942370669435,-0.05656148177098472,0.005880303037231416
2025-03-25,1160.0,1160.050048828125,1105.1500244140625,1130.550048828125,177954,-0.015114535427241282,0.30031225595178107,-0.03466565773783709,0.013267877893197388,1.074065693271454,-0.05032939756669184,0.027729843201929283
2025-03-26,1144.9000244140625,1144.9000244140625,1116.050048828125,1127.199951171875,86239,-0.002963245775560841,0.29347699134003563,-0.03466565773783709,0.01938440259293306,1.0705842535354584,-0.010097028939339241,0.044801279442479025
2025-03-27,1130.949951171875,1145.5,1115.1500244140625,1136.5999755859375,73696,0.008339269713674158,0.28703464480683294,-0.03466565773783709,0.025118818794102937,1.055243744862946,0.02905318077110332,0.046982250185720664
2025-03-28,1136.449951171875,1154.449951171875,1125.0,1137.0,67771,0.00035194828669271594,0.2853553474304789,-0.03466565773783709,0.028583992963940208,1.049718572638385,0.0012333684212621136,0.008443250295459448
2025-04-01,1152.0,1162.0,1139.550048828125,1154.6500244140625,38074,0.015523328420459448,0.2867821363241488,-0.03466565773783709,-0.005845927213681379,1.0289005277890342,0.05412934040501074,-0.025808728357536115
2025-04-02,1162.8499755859375,1179.9000244140625,1143.1500244140625,1161.9000244140625,46033,0.006278958859139205,0.2856901389333752,-0.03466565773783709,-0.026981646378523072,1.0192830693764685,0.021978212698553705,-0.030381313440393964
2025-04-03,1163.449951171875,1192.6500244140625,1155.800048828125,1177.699951171875,78443,0.013598353064653956,0.2832660575678904,-0.03466565773783709,-0.04288019197907733,1.0016091266349203,0.04800558422478484,-0.014562200097473776
2025-04-04,1184.5999755859375,1222.050048828125,1150.1500244140625,1190.0,36007,0.010444127823802551,0.2643889573277989,-0.03466565773783709,-0.04487397009585081,0.988932787470457,0.039502888223219804,0.11840338186055677
2025-04-07,1080.0,1199.0,1080.0,1146.5999755859375,117501,-0.03647060875131303,0.28251782529562863,-0.03466565773783709,-0.008372558686853049,1.020992533014399,-0.12909134997848873,0.14242111661015433
2025-04-08,1161.0,1161.1500244140625,1116.25,1124.8499755859375,76810,-0.018969126515884782,0.27368580193801145,-0.03466565773783709,0.0264924651952827,1.0335133884499137,-0.06930986440824781,0.16664451021083426
2025-04-09,1123.0,1139.25,1105.050048828125,1126.5999755859375,32742,0.0015557630243876464,0.265936963098884,-0.03466565773783709,0.031333259003281766,1.0267064895877793,0.0058501193205999355,0.21853371079130413
2025-04-11,1135.6500244140625,1180.0,1130.0,1160.550048828125,121053,0.030134984890737515,0.2744157066975911,-0.03466565773783709,0.014777391428372422,0.994429331962867,0.10981508367447691,0.19331348597372155
2025-04-15,1172.0,1392.699951171875,1172.0,1330.9000244140625,116686,0.1467838252714304,0.5785927999620541,-0.03466565773783709,-0.10586822588428058,0.8716582667850346,0.2536910634631926,0.01532799161457965
2025-04-16,1353.0,1353.0,1266.0999755859375,1309.9000244140625,126775,-0.01577879601380683,0.5827260294690598,-0.03466565773783709,-0.12466603999123638,0.8908199007688314,-0.02707755436531271,0.023894897453577313
2025-04-17,1332.0,1332.0,1291.0,1312.300048828125,49053,0.001832219535331303,0.5690469728636435,-0.03466565773783709,-0.14284086433554521,0.8955440570280332,0.003219803619924199,0.007848758953419521
2025-04-21,1315.0999755859375,1425.0,1292.199951171875,1372.800048828125,115444,0.04610226148663643,0.574274471016923,-0.03466565773783709,-0.17934153881503234,0.8643538516614563,0.08027914004640904,-0.037733134459270734
2025-04-22,1385.9000244140625,1400.0,1358.300048828125,1384.9000244140625,34176,0.008814084466464367,0.5732989815541875,-0.03466565773783709,-0.16199723563501112,0.8653169813120218,0.015374324037392398,-0.029243988220113648
2025-04-23,1380.0,1391.5,1344.0999755859375,1351.300048828125,33744,-0.024261661487191666,0.5849536193305406,-0.03466565773783709,-0.015096591191389175,0.8937208363256954,-0.0414762132768683,-0.027233070005465265
