date,open,high,low,close,volume,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,rsi_14d
2022-07-19,592.7999877929688,645.0,591.5999755859375,635.5499877929688,1878635,0.07211538610039603,0.6474662547922527,-0.0480713504822046,842987.5,535.51043814217,0.031318438609279964,0.8630005653590934,0.11138091669306524,80.86363509259643
2022-07-20,643.9000244140625,683.0,640.0999755859375,675.0999755859375,2938732,0.06222954693195937,0.6058542761790638,-0.047823183642144884,975938.05,536.899388763501,0.12563564082690704,0.8251148240305121,0.10271371904360357,83.740997322899
2022-07-21,666.9500122070312,708.0,662.0999755859375,699.2000122070312,2398380,0.03569847058604414,0.5983303767880382,-0.047807643898762624,1064417.75,538.5143203400535,0.1687421850514521,0.8108695475690558,0.05966347585600815,87.03532077170036
2022-07-22,704.9000244140625,706.2000122070312,664.0499877929688,668.5999755859375,894054,-0.04376435367113973,0.6293620099821787,-0.04779210415538036,1068201.75,539.8087049693657,0.10494133624532198,0.8611801032868975,-0.0695376465080924,77.73230980633811
2022-07-25,668.5,675.0,642.6500244140625,661.3499755859375,578397,-0.01084355409024107,0.6257078591389531,-0.04777656441199811,1081351.1,541.0180708461476,0.11563763361093282,0.8834694438440549,-0.01733005868243764,75.72766919110722
2022-07-26,661.3499755859375,661.3499755859375,615.7999877929688,622.4000244140625,702402,-0.0588946134569166,0.6743582032191991,-0.05179385308310034,1102515.05,541.8278415284154,-0.020690683079974903,0.9484334392230492,-0.08733431624680604,65.27562481222768
2022-07-27,619.0,655.0,605.5499877929688,646.0,994513,0.03791769707617676,0.6796108220738526,-0.05154568624304062,1141625.9,542.86438041868,-0.04310469062109035,0.9247174856463454,0.05579325002879925,59.26197157327539
2022-07-28,649.9000244140625,656.7999877929688,621.0,627.5,627543,-0.028637770897832815,0.6944468497317096,-0.051297519402980905,1147485.65,543.7065258871507,-0.10254578225865518,0.9615976037257221,-0.04123824666569396,55.51942677129489
2022-07-29,631.5,642.6500244140625,617.5499877929688,635.0,624177,0.01195219123505975,0.6939485652187872,-0.05104935256292119,1174684.4,544.614918664393,-0.05025422795819223,0.9607952688622663,0.017223453814703023,57.466980420418146
2022-08-01,641.5,649.9000244140625,625.0499877929688,631.5999755859375,368778,-0.0053543691560039575,0.6916671754957753,-0.05080118572286147,1176795.45,545.4804416188363,-0.04498374702991759,0.9759143725815688,-0.007741250804266559,52.80775138266841
2022-08-02,629.0,637.4500122070312,615.5499877929688,619.7999877929688,373759,-0.018682691971325438,0.6997845209575939,-0.05055301888280176,1182023.4,546.2199395907182,-0.004177436566686343,1.0035495420245966,-0.026697777879942285,53.73161927705933
2022-08-03,622.6500244140625,624.7000122070312,601.0,609.4500122070312,427470,-0.01669889607902786,0.7058019135838676,-0.05030485204274204,1162474.2,546.8490945421244,-0.0565789284720879,1.027578115634604,-0.023659465242366395,52.01802063509638
2022-08-04,612.75,648.7000122070312,610.0499877929688,621.6500244140625,1121462,0.020018068689260815,0.7018129447572207,-0.050056685202682326,1029691.95,547.5933824015466,-0.009322670256474153,1.009531042067865,0.02852336730687124,52.92558778653757
2022-08-05,621.7999877929688,645.2999877929688,615.2999877929688,633.7000122070312,1027433,0.019383877293862373,0.5334490979702687,-0.04980851836262261,942220.8,548.4501647876708,-0.002047224870816877,0.9933682900939182,0.036336882008513385,57.23638142023885
2022-08-08,636.9000244140625,658.0,626.0999755859375,642.2999877929688,513854,0.013571051633699316,0.5343850278997828,-0.04956035152256289,942576.95,549.3839938723007,0.01694112194527042,0.984068982936478,0.025395642975027295,51.35842245578202
2022-08-10,597.0,621.9500122070312,583.5999755859375,599.7999877929688,1639871,-0.06616845836481466,0.5866503887114398,-0.05461894834741242,972457.25,549.8856455531034,-0.032268474336725195,1.052425821880931,-0.1127902725544067,35.023866575202206
2022-08-11,600.0,600.0,509.7999877929688,563.25,1364377,-0.060936959881340624,0.6040278109250665,-0.059405200063022606,994653.65,550.0186242043163,-0.0758060731506508,1.1174789083305592,-0.1008843595780338,24.237245347159245
2022-08-12,565.0,581.8499755859375,550.0,555.25,747953,-0.01420328450954278,0.5994989180998509,-0.059303082741801405,1006476.6,550.0706776948207,-0.10681255015898694,1.1297073302425709,-0.02369192644690954,26.507765178394152
2022-08-16,562.0,565.0,553.5499877929688,557.5999755859375,509944,0.004232283810783333,0.60002088066142,-0.059200965420580204,1016126.3,550.145596081797,-0.12008842536716202,1.1206869126214272,0.007053560762056078,28.051604742863603
2022-08-17,556.0,572.9500122070312,550.0,562.4500122070312,822870,0.008698057448796037,0.5992805169404583,-0.059098848099359,1027730.2,550.2680280830431,-0.12431881847034287,1.1083251538955123,0.014514166667825392,35.17922610697204
2022-08-18,566.0,572.0,558.0499877929688,560.0999755859375,690353,-0.0041782141880880586,0.5959293738669883,-0.0589967307781378,968316.1,550.365858406455,-0.06618875127542412,1.1062399977421022,-0.007011257207985968,26.27071146750815
2022-08-19,562.9500122070312,575.0,559.0,569.7999877929688,1253295,0.017318358560690417,0.5373859127658762,-0.0589967307781378,884044.25,550.5592328282114,0.01162891751969597,1.078167794838748,0.032227041734838174,33.246222935585635
2022-08-22,568.8499755859375,573.7999877929688,553.25,559.2999877929688,1062385,-0.018427518822297873,0.4805657748090454,-0.0589967307781378,817244.5,550.646205514428,0.007293989721690597,1.0859020353528117,-0.0383454657089666,28.396116720275458
2022-08-23,559.2999877929688,569.8499755859375,554.0,557.5999755859375,443299,-0.0030395355697031556,0.45368251804374843,-0.0589967307781378,794706.75,550.715397256433,0.0,1.0792593641791481,-0.006699697215163759,28.674351561876605
2022-08-24,557.8499755859375,565.9500122070312,557.0,560.7999877929688,125246,0.00573890306158753,0.4399029117367567,-0.0589967307781378,772049.2,550.8157414408761,-0.002933637440219572,1.0641360711795316,0.013045839838776429,32.11037254252899
2022-08-25,566.0,570.0,550.0,555.4500122070312,204597,-0.00953989961196744,0.4398185456165549,-0.0589967307781378,747158.95,550.861853587803,-0.008302023891434307,1.0683589559378814,-0.02169053463102309,33.11444907822934
2022-08-26,571.0,580.0,550.1500244140625,558.5999755859375,763064,0.005671011449599472,0.40062011067953274,-0.0589967307781378,735586.5,550.9388498265904,-0.019656041500479393,1.054511313357303,0.014155583199316825,29.10173711838256
2022-08-29,554.9500122070312,568.0,551.0,562.4500122070312,229976,0.006892296436381562,0.37232767071601086,-0.0589967307781378,715708.15,551.0533887557491,0.005632083824089973,1.0415103241054082,0.01851137262512209,25.026292367374538
2022-08-30,569.7999877929688,585.2000122070312,565.0999755859375,568.9000244140625,1044817,0.011467707470965482,0.36791010123537865,-0.05309192509401807,736740.15,551.2309672200109,0.02026551169815005,1.0238925483040295,0.031169862204816552,23.879027914656476
2022-09-01,572.0,575.0,568.0,569.9000244140625,259828,0.0017577780929609599,0.3638756444328817,-0.05309192509401807,731292.65,551.416728983136,0.01622688448497822,1.0166827045930693,0.0048307109078252145,34.8990176551479
2022-09-02,574.0,575.0,561.5,564.3499755859375,140170,-0.009738635884129376,0.36426440100403323,-0.05309192509401807,719613.2,551.5454180040595,0.01602297809580211,1.02176844600711,-0.026735073726490255,50.80880402136299
2022-09-05,568.6500244140625,570.0,560.2000122070312,565.6500244140625,327894,0.002303621660965316,0.36164133684706873,-0.05309192509401807,714634.4,551.6857623464476,0.012620925772024894,1.0155484369756604,0.006369906762733836,58.482867256227806
2022-09-06,575.0,580.0,567.0999755859375,571.75,405078,0.010784010116955622,0.36209841425420136,-0.05309192509401807,678815.2,551.8854065022043,0.01653478103143069,1.0003497978981062,0.02978198576579555,60.876239099895216
2022-09-07,571.75,587.0,563.75,573.5,756210,0.003060778312199419,0.35330353449026264,-0.05309192509401807,665254.05,552.100477084272,0.008085736313116154,0.9920488166310212,0.008663310515651442,58.91845333097063
2022-09-08,573.5,577.2999877929688,559.0,568.7999877929688,200157,-0.008195313351405886,0.34348976245281077,-0.05309192509401807,649569.2,552.2666413699308,-0.0019302273626409239,0.9937851766333637,-0.023858973421200694,56.76516110671295
2022-09-09,569.9000244140625,574.0499877929688,566.0999755859375,568.5,199743,-0.000527404710630841,0.3373536101557264,-0.05309192509401807,577562.8,552.4281673264489,0.007353636207308556,0.9915567228641023,-0.0015633586809810573,48.81604197970135
2022-09-12,571.0,583.5,568.0499877929688,572.7999877929688,189845,0.007563742819646002,0.25778867176856746,-0.05309192509401807,518836.2,552.6308720077078,0.012640260002309223,0.9849467673903047,0.02934086464834183,63.86034858105342
