date,open,high,low,close,volume,split_ratio,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,rsi_14d
2021-08-25,253.7899932861328,256.3999938964844,251.00999450683597,255.17999267578125,1060425,0.0,0.010854025542211598,0.7060946297620583,-0.043217986301945704,3226404.0,213.82099244441238,-0.07372317789591876,0.9874833736718371,0.015371913240793355,50.909825562988736
2021-08-26,256.4599914550781,259.0,251.1999969482422,257.6000061035156,866920,0.0,0.00948355473467366,0.7035928355067057,-0.04293658109745291,3186578.75,214.25660452062237,-0.05978540121903231,0.9816459399478998,0.013478753792392386,54.99788871660388
2021-08-27,255.0,258.0,252.22000122070312,255.3999938964844,972275,0.0,-0.008540419855996295,0.7005741988433627,-0.042347653468765664,3074506.5,214.6659914795862,-0.011456849446133455,0.9925078537359597,-0.012190599865353875,54.06146143011157
2021-08-30,256.4800109863281,262.8900146484375,251.0,257.760009765625,1666880,0.0,0.009240469559670839,0.6999987124617042,-0.04175872584007843,3045653.75,215.09478768143737,0.02976314282168202,0.9866542164124324,0.013200694891520133,55.115215745042306
2021-08-31,258.0,261.79998779296875,254.3999938964844,257.0799865722656,1443645,0.0,-0.002638202853800675,0.6990498214034213,-0.04116979821139118,2946756.0,215.51255085448045,0.018380542251564824,0.989691974605404,-0.003773983964067605,60.683749929914505
2021-09-01,258.5299987792969,258.5299987792969,252.0,252.97999572753903,1010080,0.0,-0.015948308148732826,0.6743331277648656,-0.04058087058270394,2817192.75,215.88536125122732,-0.008621353598976755,1.0048501996194412,-0.023650488542791837,48.833222328255495
2021-09-02,254.25,255.6300048828125,251.0,251.5500030517578,706130,0.0,-0.005652591904228399,0.6737165130051481,-0.0399919429540167,2770288.5,216.24023330894406,-0.02348603613513367,1.0102862101129466,-0.008390163683406062,45.342512816139624
2021-09-03,251.3999938964844,253.7400054931641,247.3999938964844,247.80999755859372,727595,0.0,-0.014867841175873697,0.6729365940586751,-0.03940301532532946,2732807.75,216.55436031640326,-0.029718075643208386,1.0259452863327407,-0.0220939700503754,45.82071390497592
2021-09-06,248.3999938964844,259.7699890136719,248.3999938964844,256.8099975585937,1666600,0.0,0.036318147325238304,0.6760787673811314,-0.03881408769664222,2779876.25,216.9549139208032,-0.003685646225320749,0.9921693136783065,0.05371880990839678,57.17562821490626
2021-09-07,255.4600067138672,257.3900146484375,250.5,251.25,654210,0.0,-0.021650237963672492,0.6813726139290692,-0.038225160067954976,2774182.75,217.29615855840714,-0.022677714628815737,1.015321388054843,-0.03177444646782034,30.30551272919054
2021-09-08,252.6199951171875,253.25999450683597,244.63999938964844,248.22999572753903,1200050,0.0,-0.012019917502332222,0.6830083587790713,-0.03763623243926773,2746699.0,217.6039579332244,-0.018776188158038276,1.0306751917460544,-0.01759849227589806,29.57970724175945
2021-09-09,248.8000030517578,252.0,246.25999450683597,249.9499969482422,741080,0.0,0.006929062765609784,0.6584446901537581,-0.037047304810580495,2093084.25,217.92580906770218,-0.006360588686561863,1.022540513016428,0.010523378446195601,41.44457606205103
2021-09-13,251.3600006103516,253.88999938964844,250.25,252.91000366210935,527280,0.0,0.011842395479124912,0.5739275966286905,-0.03645837718189325,1877223.25,218.2739105064525,0.020580308114121815,1.0091830867629057,0.020633953380790226,52.95052484975925
2021-09-14,253.8000030517578,257.4700012207031,248.66000366210935,251.2899932861328,629315,0.0,-0.006405481604202956,0.5702803299980512,-0.03586944955320601,1823818.5,218.60242874306624,-0.021494506930951673,1.014899140124192,-0.011232162771427197,48.67966980567307
2021-09-15,252.5500030517578,254.57000732421875,248.1999969482422,248.6699981689453,647135,0.0,-0.010426181651428612,0.5680367894882634,-0.03528052192451877,1689606.5,218.90160853834863,-0.010268664004197792,1.0264708237555544,-0.018354764446284845,42.50519884001522
2021-09-16,249.9199981689453,250.7100067138672,248.00999450683597,249.4499969482422,493675,0.0,0.003136682289943682,0.5468594414643337,-0.034691594295831525,1259571.0,219.20557260212868,0.004914801763289844,1.018041696958427,0.0057358106942186704,40.24886495084258
2021-09-17,251.0,251.6999969482422,244.69000244140625,246.0500030517578,369400,0.0,-0.013629961667988466,0.29915836692930287,-0.03410266666714429,1141674.75,219.47268136282153,-0.015603096395684135,1.0264336300357957,-0.045561022920008354,39.12539762476428
2021-09-20,245.8000030517578,248.8800048828125,242.0,243.55999755859372,705210,0.0,-0.010119916530300976,0.29964525647084117,-0.033513739038457044,1007186.5,219.71235615083918,-0.036969696604043145,1.0338889839761414,-0.033772989807218455,33.534318345257915
