date,open,high,low,close,volume,split_ratio,dividend,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200,qlib_momentum_5d,qlib_mean_reversion_20d,qlib_vol_normalized_return,rsi_14d
2021-03-01,1209.8533935546875,1248.7503662109375,1205.240966796875,1235.756591796875,207567,0.0,0.0,0.03252341489226729,0.42256745159341563,-0.029181066057741005,445221.3,1009.6950130123961,0.059487357352300485,0.9301356358656321,0.07696620740657156,76.76274599148803
2021-03-02,1249.00341796875,1249.00341796875,1223.4940185546875,1234.912841796875,162435,0.0,0.0,-0.0006827800924558147,0.4239406062112265,-0.029181066057741005,439043.25,1011.9359864331373,0.062119084010499925,0.9397831749734046,-0.0016105559749331087,76.59093978670603
2021-03-03,1243.9971923828125,1248.30029296875,1229.2034912109375,1240.4815673828125,217688,0.0,0.0,0.004509407787706365,0.40762796291249315,-0.029181066057741005,355622.1,1014.2100718157211,0.05031787489444661,0.9414728265281772,0.011062557251620253,76.89388458403481
2021-03-04,1241.5784912109375,1251.506591796875,1229.9066162109375,1246.1346435546875,180922,0.0,0.0,0.0045571625734044385,0.3168244721659085,-0.029181066057741005,288761.6,1016.5177789972034,0.04658085422718461,0.9406606660145851,0.014383871291291284,81.67763316854987
2021-03-05,1241.4378662109375,1262.2503662109375,1226.8128662109375,1245.5159912109375,216775,0.0,0.0,-0.0004964570618029018,0.24914112378186593,-0.029181066057741005,265467.85,1018.7963681734595,0.04067777836254671,0.9459252315949391,-0.001992674008771157,81.05194643000729
2021-03-08,1254.3753662109375,1313.3533935546875,1252.6878662109375,1301.59716796875,560762,0.0,0.0,0.045026460642458854,0.2587638192120246,-0.029181066057741005,274401.45,1021.6103064798804,0.05327956703523484,0.9104691464175437,0.17400600686568637,87.92819853423389
2021-03-09,1321.509765625,1333.1253662109375,1306.1815185546875,1321.0596923828125,327525,0.0,0.0,0.014952801752354361,0.24247896813178518,-0.029181066057741005,283916.75,1024.5899023595116,0.06975945805259309,0.9038396216416357,0.06166638389670071,87.61348891879112
2021-03-10,1329.3565673828125,1424.2503662109375,1311.7503662109375,1407.150390625,879510,0.0,0.0,0.06516790932202654,0.3010226961473467,-0.029181066057741005,307365.95,1028.3964743820538,0.13435816188210525,0.8579858764041357,0.21648835118148094,90.94701064217286
2021-03-12,1422.7315673828125,1479.3753662109375,1378.1253662109375,1408.0784912109375,997818,0.0,0.0,0.0006595603370620484,0.30057872183223866,-0.029181066057741005,344284.6,1032.1744048977641,0.12995694204784614,0.866775193088778,0.002194301416609101,98.13456537380871
2021-03-15,1432.6878662109375,1459.1253662109375,1401.666015625,1429.4815673828125,976940,0.0,0.0,0.01520020105801656,0.2998116153454084,-0.029181066057741005,383623.1,1036.127709997118,0.1477022996653914,0.8640814084132508,0.05069917165655148,98.11748616900476
2021-03-16,1440.5347900390625,1440.5628662109375,1381.61279296875,1391.2315673828125,596726,0.0,0.0,-0.026757952584188005,0.3209258023657009,-0.029181066057741005,409087.95,1039.6610817123985,0.06886493119368442,0.8969181104204109,-0.08337737742857787,87.10504939004247
2021-03-17,1394.40966796875,1420.1441650390625,1373.569091796875,1381.2191162109375,552245,0.0,0.0,-0.007196825752531222,0.3255389507970711,-0.029181066057741005,425764.3,1043.0596691203443,0.0455387626880166,0.9124119229193032,-0.0221074176034415,83.40377001288105
