date,open,high,low,close,volume,split_ratio,dividend
2021-01-01,92.20999908447266,94.4000015258789,92.0,94.0199966430664,12420,0.0,0.0
2021-01-04,95.9000015258789,99.83000183105469,94.4000015258789,96.83999633789062,24155,0.0,0.0
2021-01-05,96.9000015258789,103.9800033569336,96.9000015258789,101.6500015258789,56705,0.0,0.0
2021-01-06,101.80999755859375,104.0,101.80000305175781,103.83000183105469,22010,0.0,0.0
2021-01-07,105.0,107.0,103.19999694824219,105.08999633789062,45665,0.0,0.0
2021-01-08,105.19999694824219,107.4000015258789,104.94999694824219,106.9800033569336,38895,0.0,0.0
2021-01-11,109.9000015258789,127.87999725341797,107.47000122070312,112.19999694824219,91480,0.0,0.0
2021-01-12,114.0,119.23999786376953,110.26000213623047,118.47000122070312,40035,0.0,0.0
2021-01-13,121.58999633789062,125.18000030517578,116.0,119.77999877929688,39575,0.0,0.0
2021-01-14,121.62999725341797,122.0,116.80000305175781,118.29000091552734,46605,0.0,0.0
2021-01-15,119.51000213623047,119.80000305175781,117.19000244140625,118.13999938964844,5975,0.0,0.0
2021-01-18,118.01000213623047,119.5999984741211,117.4000015258789,118.75,6520,0.0,0.0
2021-01-19,119.0,122.0,118.19999694824219,121.48999786376953,47575,0.0,0.0
2021-01-20,122.0,124.9800033569336,121.98999786376953,123.98999786376953,69610,0.0,0.0
2021-01-21,124.5999984741211,125.0,123.0,123.7300033569336,87790,0.0,0.0
2021-01-22,124.80000305175781,125.0,121.56999969482422,124.30999755859375,52805,0.0,0.0
2021-01-25,124.80000305175781,125.13999938964844,124.19999694824219,124.7699966430664,5380,0.0,0.0
2021-01-27,124.19999694824219,124.87999725341797,119.19000244140625,121.70999908447266,19150,0.0,0.0
2021-01-28,122.80999755859375,123.80000305175781,118.7300033569336,121.08999633789062,10055,0.0,0.0
2021-01-29,123.08000183105469,123.68000030517578,120.9000015258789,120.91000366210938,515945,0.0,0.0
2021-02-01,122.76000213623047,122.80999755859375,120.80000305175781,121.8499984741211,21535,0.0,0.0
2021-02-02,122.0999984741211,125.0,120.83000183105469,123.75,16010,0.0,0.0
2021-02-03,124.94000244140625,126.0,120.79000091552734,125.56999969482422,32700,0.0,0.0
2021-02-04,125.41000366210938,125.41000366210938,123.61000061035156,123.80000305175781,11750,0.0,0.0
2021-02-05,124.20999908447266,124.20999908447266,122.11000061035156,123.19000244140625,30930,0.0,0.0
2021-02-08,125.19000244140625,133.77999877929688,123.01000213623047,124.5,26750,0.0,0.0
2021-02-09,124.41000366210938,124.80000305175781,122.4000015258789,122.8499984741211,9760,0.0,0.0
2021-02-10,124.01000213623047,124.01000213623047,120.5999984741211,121.80000305175781,12785,0.0,0.0
2021-02-11,122.41000366210938,123.9000015258789,121.5,122.01000213623047,5810,0.0,0.0
2021-02-12,124.0,130.0,123.0,128.22000122070312,85735,0.0,0.0
2021-02-15,135.0,135.0,126.86000061035156,129.1699981689453,22635,0.0,0.0
2021-02-16,129.22999572753906,130.1999969482422,125.38999938964844,128.24000549316406,55840,0.0,0.0
2021-02-17,128.99000549316406,129.6999969482422,126.26000213623047,127.19000244140625,598705,0.0,0.0
2021-02-18,128.94000244140625,130.0,127.70999908447266,128.38999938964844,25185,0.0,0.0
2021-02-19,129.72000122070312,129.72000122070312,127.0,127.9000015258789,25005,0.0,0.0
2021-02-22,128.7899932861328,130.0,127.80000305175781,128.6300048828125,7445,0.0,0.0
2021-02-23,129.9600067138672,129.9600067138672,127.80000305175781,127.98999786376953,16565,0.0,0.0
2021-02-24,130.00999450683594,130.41000366210938,127.80000305175781,128.0,9255,0.0,0.0
2021-02-25,128.47999572753906,130.19000244140625,128.0,128.11000061035156,7090,0.0,0.0
2021-02-26,128.39999389648438,129.0,128.1999969482422,128.1999969482422,2690,0.0,0.0
2021-03-01,128.1999969482422,129.8000030517578,127.80000305175781,128.57000732421875,28465,0.0,0.0
2021-03-02,129.97000122070312,131.0,127.80000305175781,130.52999877929688,13165,0.0,0.0
2021-03-03,130.00999450683594,131.89999389648438,129.39999389648438,129.66000366210938,6125,0.0,0.0
2021-03-04,129.0,131.99000549316406,128.99000549316406,129.92999267578125,26145,0.0,0.0
2021-03-05,133.0,133.0,130.1999969482422,130.72000122070312,6865,0.0,0.0
2021-03-08,132.99000549316406,132.99000549316406,130.1999969482422,131.25,5180,0.0,0.0
2021-03-09,131.60000610351562,131.64999389648438,130.39999389648438,131.14999389648438,6645,0.0,0.0
2021-03-10,131.58999633789062,134.1999969482422,131.1999969482422,132.4600067138672,22575,0.0,0.0
2021-03-12,133.97999572753906,135.0,132.0,132.2100067138672,10715,0.0,0.0
2021-03-15,132.6199951171875,134.99000549316406,132.39999389648438,133.0,11720,0.0,0.0
2021-03-16,133.99000549316406,133.99000549316406,131.8000030517578,132.2899932861328,8295,0.0,0.0
2021-03-17,132.39999389648438,134.17999267578125,132.38999938964844,133.5,5185,0.0,0.0
2021-03-18,134.97000122070312,154.8699951171875,131.0,132.75999450683594,330690,0.0,0.0
2021-03-19,132.75999450683594,136.0,131.8000030517578,132.47999572753906,37615,0.0,0.0
2021-03-22,132.63999938964844,150.97999572753906,132.1999969482422,134.47000122070312,36805,0.0,0.0
2021-03-23,135.0,136.8000030517578,130.52000427246094,133.5399932861328,70415,0.0,0.0
2021-03-24,139.58999633789062,139.60000610351562,130.39999389648438,132.35000610351562,7185,0.0,0.0
2021-03-25,132.2100067138672,135.0,120.79000091552734,132.39999389648438,140125,0.0,0.0
2021-03-26,132.1999969482422,135.60000610351562,128.32000732421875,132.30999755859375,68855,0.0,0.0
2021-03-30,136.7899932861328,136.7899932861328,131.0,132.38999938964844,14455,0.0,0.0
2021-03-31,132.47999572753906,134.80999755859375,132.0,132.47000122070312,52975,0.0,0.0
2021-04-01,134.0,138.8000030517578,132.39999389648438,134.41000366210938,12970,0.0,0.0
2021-04-05,133.02000427246094,136.0,130.97000122070312,131.32000732421875,41170,0.0,0.0
2021-04-06,132.69000244140625,134.0,131.0,131.88999938964844,8875,0.0,0.0
2021-04-07,132.2100067138672,134.0,130.99000549316406,132.42999267578125,20130,0.0,0.0
2021-04-08,132.42999267578125,135.8000030517578,132.42999267578125,135.4199981689453,170340,0.0,0.0
2021-04-09,136.0,137.39999389648438,135.0,135.7100067138672,59960,0.0,0.0
2021-04-12,134.22999572753906,138.0,133.60000610351562,134.92999267578125,37025,0.0,0.0
2021-04-13,135.0399932861328,135.7899932861328,133.7899932861328,134.75999450683594,2250,0.0,0.0
2021-04-15,133.1699981689453,139.97999572753906,132.8000030517578,134.36000061035156,3590,0.0,0.0
2021-04-16,134.0800018310547,135.0,134.0800018310547,134.19000244140625,25545,0.0,0.0
2021-04-19,133.00999450683594,134.19000244140625,131.97999572753906,133.1199951171875,10055,0.0,0.0
2021-04-20,133.11000061035156,141.74000549316406,133.11000061035156,139.69000244140625,58960,0.0,0.0
2021-04-22,139.6999969482422,144.7899932861328,139.6999969482422,142.0399932861328,33370,0.0,0.0
2021-04-23,139.22999572753906,142.39999389648438,135.8000030517578,137.4600067138672,8470,0.0,0.0
2021-04-26,138.00999450683594,140.0,136.0,136.0,28305,0.0,0.0
2021-04-27,137.00999450683594,137.47999572753906,136.1999969482422,136.22999572753906,9535,0.0,0.0
2021-04-28,136.41000366210938,137.3800048828125,136.0,136.3000030517578,12470,0.0,0.0
2021-04-29,142.39999389648438,142.39999389648438,136.1999969482422,136.5,13855,0.0,0.0
2021-04-30,137.3800048828125,137.3800048828125,136.3000030517578,136.35000610351562,10745,0.0,0.0
2021-05-03,139.1999969482422,139.1999969482422,135.8000030517578,136.11000061035156,48615,0.0,0.0
2021-05-04,137.11000061035156,139.0,136.47999572753906,137.1999969482422,3510,0.0,0.0
2021-05-05,136.49000549316406,138.1999969482422,136.39999389648438,137.0,21285,0.0,0.0
2021-05-06,137.97999572753906,138.7899932861328,136.60000610351562,138.08999633789062,3325,0.0,0.0
2021-05-07,138.0,138.05999755859375,136.00999450683594,137.97999572753906,73800,0.0,0.0
2021-05-10,137.97999572753906,142.39999389648438,137.22999572753906,142.1199951171875,28375,0.0,0.0
2021-05-11,144.75999450683594,144.75999450683594,140.61000061035156,142.82000732421875,4695,0.0,0.0
2021-05-12,143.0,144.0,141.50999450683594,143.25,12905,0.0,0.0
2021-05-14,143.58999633789062,144.02999877929688,139.7899932861328,143.39999389648438,1409270,0.0,0.0
2021-05-17,143.83999633789062,153.0,143.83999633789062,151.0500030517578,445850,0.0,0.0
2021-05-18,154.0,159.60000610351562,151.0500030517578,158.19000244140625,84030,0.0,0.0
2021-05-19,158.1999969482422,164.92999267578125,154.0,156.10000610351562,39005,0.0,0.0
2021-05-20,155.00999450683594,156.10000610351562,150.0,153.8300018310547,20490,0.0,0.0
2021-05-21,152.9499969482422,156.1699981689453,150.75999450683594,154.8800048828125,12010,0.0,0.0
2021-05-24,157.99000549316406,157.99000549316406,152.0,153.82000732421875,16060,0.0,0.0
2021-05-25,153.82000732421875,154.9499969482422,153.41000366210938,154.17999267578125,7995,0.0,0.0
2021-05-26,154.0,156.1699981689453,152.41000366210938,154.64999389648438,9125,0.0,0.0
2021-05-27,154.41000366210938,169.60000610351562,154.0,156.13999938964844,692760,0.0,0.0
2021-05-28,162.0,168.0,160.0,167.30999755859375,67705,0.0,0.0
2021-05-31,173.75,200.77000427246094,170.0,189.64999389648438,512185,0.0,0.0
2021-06-01,195.0,197.60000610351562,175.4600067138672,180.58999633789062,152205,0.0,0.0
2021-06-02,180.38999938964844,183.00999450683594,174.30999755859375,180.02999877929688,39475,0.0,0.0
2021-06-03,183.8300018310547,187.00999450683594,181.30999755859375,183.6199951171875,17895,0.0,0.0
2021-06-04,184.0,208.77999877929688,182.0,197.6300048828125,98725,0.0,0.0
2021-06-07,207.60000610351562,209.0,192.2100067138672,196.5,126755,0.0,0.0
2021-06-08,204.8000030517578,204.8000030517578,194.39999389648438,197.75999450683594,32755,0.0,0.0
2021-06-09,198.44000244140625,204.0,188.0,190.66000366210938,40495,0.0,0.0
2021-06-10,194.05999755859375,196.5500030517578,193.1999969482422,194.39999389648438,15755,0.0,0.0
2021-06-11,198.0,204.0800018310547,191.75,195.22999572753906,90890,0.0,0.0
2021-06-14,196.0,199.0,188.69000244140625,194.44000244140625,18740,0.0,0.0
2021-06-15,197.99000549316406,201.17999267578125,192.4499969482422,194.1999969482422,35805,0.0,0.0
2021-06-16,199.0,204.0,194.32000732421875,194.94000244140625,21950,0.0,0.0
2021-06-17,193.8000030517578,197.38999938964844,190.0,193.02000427246094,40360,0.0,0.0
2021-06-18,193.02000427246094,196.1999969482422,191.0,195.13999938964844,56705,0.0,0.0
2021-06-21,195.83999633789062,199.1999969482422,194.19000244140625,194.8699951171875,23120,0.0,0.0
2021-06-22,198.0,200.0,194.49000549316406,196.27000427246094,37600,0.0,0.0
2021-06-23,197.92999267578125,197.92999267578125,194.1999969482422,194.61000061035156,20505,0.0,0.0
2021-06-24,197.0,201.60000610351562,193.00999450683594,199.13999938964844,31120,0.0,0.0
2021-06-25,200.0,200.0,195.0,196.39999389648438,30775,0.0,0.0
2021-06-28,197.0,209.0,197.0,201.63999938964844,27225,0.0,0.0
2021-06-29,204.7899932861328,206.00999450683594,197.02000427246094,203.0,12080,0.0,0.0
2021-06-30,201.60000610351562,204.52999877929688,196.30999755859375,199.32000732421875,21885,0.0,0.0
2021-07-01,203.61000061035156,203.61000061035156,197.22999572753906,198.52999877929688,8635,0.0,0.0
2021-07-02,201.97000122070312,201.97000122070312,198.0,199.58999633789062,11175,0.0,0.0
2021-07-05,201.97000122070312,201.97000122070312,198.25999450683594,199.8300018310547,9625,0.0,0.0
2021-07-06,203.60000610351562,210.0,200.0,201.8699951171875,53545,0.0,0.0
2021-07-07,204.99000549316406,204.99000549316406,197.6300048828125,203.57000732421875,12960,0.0,0.0
2021-07-08,204.99000549316406,204.99000549316406,198.0,200.52999877929688,25110,0.0,0.0
2021-07-09,203.9600067138672,216.0,201.58999633789062,206.63999938964844,192370,0.0,0.0
2021-07-12,213.60000610351562,216.0,206.42999267578125,209.75,46410,0.0,0.0
2021-07-13,216.0,216.39999389648438,207.0399932861328,208.67999267578125,40685,0.0,0.0
2021-07-14,214.0,214.0,203.0,204.85000610351562,36580,0.0,0.0
2021-07-15,208.55999755859375,235.0,207.60000610351562,225.99000549316406,186905,0.0,0.0
2021-07-16,232.8000030517578,245.1999969482422,228.2100067138672,236.60000610351562,151345,0.0,0.0
2021-07-19,240.0,240.0,235.0,239.7100067138672,50685,0.0,0.0
2021-07-20,242.0,243.41000366210938,230.38999938964844,235.02999877929688,36615,0.0,0.0
2021-07-22,235.02999877929688,250.0,233.0,247.8000030517578,95730,0.0,3.15
2021-07-23,249.8000030517578,252.0,244.1999969482422,245.0,21255,0.0,0.0
2021-07-26,251.8000030517578,251.8000030517578,244.0,244.02999877929688,11300,0.0,0.0
2021-07-27,245.3800048828125,253.19000244140625,240.0,243.50999450683594,21370,0.0,0.0
2021-07-28,247.8000030517578,247.8000030517578,238.6999969482422,241.60000610351562,16670,0.0,0.0
2021-07-29,242.1999969482422,263.6099853515625,242.00999450683594,255.77999877929688,41240,0.0,0.0
2021-07-30,259.3999938964844,262.1199951171875,248.39999389648438,251.0500030517578,23425,0.0,0.0
2021-08-02,252.0,261.94000244140625,252.0,260.2900085449219,30170,0.0,0.0
2021-08-03,262.0,310.0,262.0,292.239990234375,227465,0.0,0.0
2021-08-04,300.0,307.79998779296875,262.4700012207031,271.3699951171875,210095,0.0,0.0
2021-08-05,272.0,293.79998779296875,270.5400085449219,282.55999755859375,282400,0.0,0.0
2021-08-06,283.9800109863281,293.6000061035156,280.3900146484375,285.0400085449219,46215,0.0,0.0
2021-08-09,302.0,303.0,275.20001220703125,280.6400146484375,72700,0.0,0.0
2021-08-10,289.79998779296875,289.79998779296875,265.0,274.20001220703125,95840,0.0,0.0
2021-08-11,279.79998779296875,288.79998779296875,250.99000549316406,270.1099853515625,106300,0.0,0.0
2021-08-12,272.010009765625,284.0,268.6099853515625,279.5899963378906,68570,0.0,0.0
2021-08-13,282.7799987792969,283.0,271.79998779296875,273.92999267578125,10970,0.0,0.0
2021-08-16,276.0,277.7799987792969,264.3999938964844,265.80999755859375,9370,0.0,0.0
2021-08-17,265.80999755859375,272.80999755859375,256.5,258.3699951171875,20370,0.0,0.0
2021-08-18,266.6000061035156,267.6000061035156,249.22000122070312,251.39999389648438,28530,0.0,0.0
2021-08-20,255.25,255.25,221.30999755859375,241.4199981689453,45120,0.0,0.0
2021-08-23,242.6300048828125,252.0,225.0800018310547,232.36000061035156,66415,0.0,0.0
2021-08-24,240.0,244.0,230.0,242.27000427246094,22605,0.0,0.0
2021-08-25,244.0,252.0,242.0800018310547,250.35000610351562,12650,0.0,0.0
2021-08-26,251.8000030517578,260.6000061035156,251.1999969482422,253.9600067138672,12005,0.0,0.0
2021-08-27,254.8000030517578,258.7300109863281,249.2100067138672,254.0399932861328,14605,0.0,0.0
2021-08-30,260.0,260.0,253.39999389648438,256.3999938964844,13440,0.0,0.0
2021-08-31,257.0,259.0,253.1999969482422,254.08999633789062,5605,0.0,0.0
2021-09-01,245.0,256.8999938964844,241.39999389648438,242.3800048828125,40355,0.0,0.0
2021-09-02,253.0,253.0,240.35000610351562,244.5,17180,0.0,0.0
2021-09-03,247.97999572753906,248.25999450683594,243.0,245.07000732421875,10720,0.0,0.0
2021-09-06,247.0,248.0,236.0500030517578,240.14999389648438,31685,0.0,0.0
2021-09-07,239.8000030517578,243.0,236.0,240.3800048828125,10320,0.0,0.0
2021-09-08,240.1999969482422,241.97999572753906,236.88999938964844,239.41000366210938,16270,0.0,0.0
2021-09-09,243.60000610351562,243.74000549316406,232.6999969482422,243.14999389648438,36375,0.0,0.0
2021-09-13,242.60000610351562,251.1999969482422,241.2899932861328,250.8699951171875,28385,0.0,0.0
2021-09-14,252.0,269.9700012207031,250.1999969482422,262.6499938964844,35285,0.0,0.0
2021-09-15,264.0,275.0,264.0,270.1000061035156,76485,0.0,0.0
2021-09-16,274.20001220703125,283.79998779296875,268.0,270.1600036621094,92040,0.0,0.0
2021-09-17,270.0,277.989990234375,259.510009765625,261.95001220703125,33340,0.0,0.0
2021-09-20,262.0,266.17999267578125,250.0,255.25999450683594,17955,0.0,0.0
2021-09-21,259.79998779296875,259.9800109863281,246.3000030517578,250.25999450683594,16350,0.0,0.0
2021-09-22,257.5899963378906,263.1199951171875,245.02000427246094,251.67999267578125,48585,0.0,0.0
2021-09-23,251.39999389648438,257.6000061035156,251.39999389648438,255.52000427246094,10475,0.0,0.0
2021-09-24,259.9599914550781,259.9599914550781,245.0,245.86000061035156,17425,0.0,0.0
2021-09-27,246.22999572753906,250.0,237.52000427246094,240.4199981689453,42790,0.0,0.0
2021-09-28,244.1300048828125,245.92999267578125,240.39999389648438,243.0399932861328,97045,0.0,0.0
2021-09-29,243.0,246.85000610351562,232.52999877929688,244.91000366210938,21055,0.0,0.0
2021-09-30,247.75999450683594,247.75999450683594,241.8000030517578,242.25999450683594,18555,0.0,0.0
2021-10-01,242.25999450683594,244.49000549316406,234.60000610351562,237.44000244140625,25185,0.0,0.0
2021-10-04,239.8000030517578,243.1999969482422,235.9600067138672,241.67999267578125,12990,0.0,0.0
2021-10-05,242.97000122070312,252.8000030517578,242.8000030517578,249.0500030517578,30775,0.0,0.0
2021-10-06,249.8800048828125,253.49000549316406,246.0,246.00999450683594,13725,0.0,0.0
2021-10-07,260.0,260.0,247.47999572753906,249.63999938964844,32415,0.0,0.0
2021-10-08,255.60000610351562,255.60000610351562,245.0,252.22999572753906,43915,0.0,0.0
2021-10-11,255.8000030517578,255.8000030517578,247.60000610351562,248.10000610351562,7415,0.0,0.0
2021-10-12,252.8000030517578,253.8000030517578,247.0,248.75999450683594,8275,0.0,0.0
2021-10-13,248.75999450683594,257.1000061035156,248.75999450683594,250.6699981689453,15520,0.0,0.0
