date,open,high,low,close,volume,split_ratio,dividend
2021-01-01,186.8249969482422,188.3999938964844,183.375,187.0500030517578,78005,0.0,0.0
2021-01-04,187.9499969482422,194.25,183.9750061035156,189.5249938964844,741109,0.0,0.0
2021-01-05,188.3249969482422,194.0625,186.75,192.8249969482422,418049,0.0,0.0
2021-01-06,193.9499969482422,193.9499969482422,187.5,188.5874938964844,204269,0.0,0.0
2021-01-07,190.5375061035156,195.0,189.8249969482422,193.6499938964844,287597,0.0,0.0
2021-01-08,197.8125,197.8125,194.3249969482422,196.6499938964844,179451,0.0,0.0
2021-01-11,198.0,205.9499969482422,196.875,200.7749938964844,646954,0.0,0.0
2021-01-12,201.0,206.25,199.6499938964844,206.2124938964844,435669,0.0,0.0
2021-01-13,207.3374938964844,210.8625030517578,196.6499938964844,201.1875,354935,0.0,0.0
2021-01-14,201.1875,209.1374969482422,198.75,205.7624969482422,759403,0.0,0.0
2021-01-15,206.25,207.7124938964844,195.8999938964844,200.2875061035156,166174,0.0,0.0
2021-01-18,198.3374938964844,198.3374938964844,191.7375030517578,194.3625030517578,132670,0.0,0.0
2021-01-19,195.5249938964844,202.1999969482422,193.6125030517578,195.9375,385757,0.0,0.0
2021-01-20,194.6999969482422,197.2124938964844,188.25,190.0500030517578,331681,0.0,0.0
2021-01-21,190.2375030517578,198.75,184.8000030517578,188.9624938964844,326295,0.0,0.0
2021-01-22,187.875,192.3000030517578,181.2375030517578,183.2250061035156,297937,0.0,0.0
2021-01-25,183.4875030517578,188.3249969482422,177.1875,185.9250030517578,278765,0.0,0.0
2021-01-27,186.8249969482422,186.8249969482422,174.0749969482422,176.8125,94923,0.0,0.0
2021-01-28,174.0,179.8125,166.0500030517578,170.1750030517578,452826,0.0,0.0
2021-01-29,172.35000610351562,186.0375061035156,169.64999389648438,181.9875030517578,402902,0.0,0.0
2021-02-01,182.6625061035156,190.7624969482422,176.58749389648438,184.5749969482422,517819,0.0,0.0
2021-02-02,186.6750030517578,191.9624938964844,185.625,187.9875030517578,236335,0.0,0.0
2021-02-03,189.0,196.3125,186.1875,192.6750030517578,119909,0.0,0.0
2021-02-04,193.5749969482422,201.75,190.8000030517578,198.5625,231550,0.0,0.0
2021-02-05,199.875,205.5,198.8249969482422,202.8374938964844,402798,0.0,0.0
