date,open,high,low,close,volume,dividend
2025-01-01,1840.5,1898.0,1835.5,1878.199951171875,289768,0.0
2025-01-02,1867.050048828125,1875.0,1833.0999755859375,1864.550048828125,118114,0.0
2025-01-03,1853.949951171875,1895.0,1852.1500244140625,1867.5999755859375,345966,0.0
2025-01-06,1879.0,1884.550048828125,1817.0,1827.199951171875,55344,0.0
2025-01-07,1829.9000244140625,1900.0,1829.9000244140625,1896.4000244140625,222201,0.0
2025-01-08,1906.4000244140625,1918.5,1870.550048828125,1896.3499755859375,153251,0.0
2025-01-09,1897.0,1904.050048828125,1860.550048828125,1870.300048828125,101449,0.0
2025-01-10,1870.0,1871.6500244140625,1791.75,1823.050048828125,129069,0.0
2025-01-13,1806.5,1826.0,1755.0,1785.5999755859375,304867,0.0
2025-01-14,1784.0,1786.949951171875,1755.0,1760.949951171875,55485,0.0
2025-01-15,1783.949951171875,1783.949951171875,1750.699951171875,1765.5999755859375,33537,0.0
2025-01-16,1760.0,1800.9000244140625,1760.0,1785.0,414491,0.0
2025-01-17,1781.0,1799.0,1735.0,1747.800048828125,130990,0.0
2025-01-20,1758.0,1811.9000244140625,1739.050048828125,1802.449951171875,109040,0.0
2025-01-21,1802.4000244140625,1847.949951171875,1780.0,1792.75,114314,0.0
2025-01-22,1802.199951171875,1811.0,1777.0,1803.9000244140625,222963,0.0
2025-01-23,1786.0,1816.5,1786.0,1805.6500244140625,20150,0.0
2025-01-24,1804.699951171875,1806.949951171875,1769.949951171875,1779.949951171875,76980,0.0
2025-01-27,1779.949951171875,1779.949951171875,1735.800048828125,1761.6500244140625,42957,0.0
2025-01-28,1761.6500244140625,1761.9000244140625,1690.199951171875,1714.449951171875,105629,0.0
2025-01-29,1692.0,1732.949951171875,1692.0,1719.9000244140625,39187,0.0
2025-01-30,1707.1500244140625,1766.75,1707.0,1746.0,26131,0.0
2025-01-31,1725.199951171875,1777.0,1725.199951171875,1763.9000244140625,23557,0.0
2025-02-01,1765.0,1797.8499755859375,1738.75,1778.949951171875,14656,0.0
2025-02-03,1772.4000244140625,1772.4000244140625,1710.5999755859375,1716.4000244140625,53251,0.0
2025-02-04,1725.4000244140625,1765.0,1710.0,1742.1500244140625,133468,0.0
2025-02-05,1789.949951171875,1789.949951171875,1708.1500244140625,1713.800048828125,225427,0.0
2025-02-06,1739.5,1760.9000244140625,1707.0,1716.449951171875,142923,0.0
2025-02-07,1727.5999755859375,1731.8499755859375,1660.25,1671.25,94885,8.5
2025-02-10,1679.5999755859375,1710.949951171875,1668.0,1678.550048828125,180172,0.0
2025-02-11,1680.0,1700.0,1589.5,1613.1500244140625,186191,0.0
2025-02-12,1600.0,1644.0,1519.800048828125,1626.0999755859375,398901,0.0
2025-02-13,1626.0999755859375,1704.699951171875,1610.550048828125,1683.699951171875,254087,0.0
2025-02-14,1668.5999755859375,1695.949951171875,1651.0999755859375,1669.300048828125,136878,0.0
2025-02-17,1669.300048828125,1669.300048828125,1613.050048828125,1640.75,197440,0.0
2025-02-18,1640.75,1649.3499755859375,1602.050048828125,1614.949951171875,38324,0.0
2025-02-19,1603.5999755859375,1689.199951171875,1560.3499755859375,1674.199951171875,219878,0.0
2025-02-20,1677.5999755859375,1683.4000244140625,1620.0999755859375,1630.050048828125,131663,0.0
2025-02-21,1638.5999755859375,1641.199951171875,1586.800048828125,1606.8499755859375,115538,0.0
2025-02-24,1606.050048828125,1606.699951171875,1560.050048828125,1570.9000244140625,154128,0.0
2025-02-25,1558.0,1639.0,1536.1500244140625,1591.949951171875,138876,0.0
2025-02-27,1602.300048828125,1602.300048828125,1524.8499755859375,1577.800048828125,135470,0.0
2025-02-28,1577.5,1667.199951171875,1525.25,1644.3499755859375,216953,0.0
2025-03-03,1640.0,1646.800048828125,1571.0,1598.75,160834,0.0
