date,open,high,low,close,volume,split_ratio,dividend
2021-01-01,66.44999694824219,67.0,66.0999984741211,66.7750015258789,265560,0.0,0.0
2021-01-04,67.125,67.5,66.5250015258789,67.17500305175781,345850,0.0,0.0
2021-01-05,66.9749984741211,67.44999694824219,65.07499694824219,65.42500305175781,839118,0.0,0.0
2021-01-06,66.0,66.9000015258789,65.2249984741211,65.5,618060,0.0,0.0
2021-01-07,66.0,67.1500015258789,65.5,65.875,609462,0.0,0.0
2021-01-08,66.42500305175781,70.42500305175781,66.30000305175781,67.80000305175781,3270670,0.0,0.0
2021-01-11,68.375,68.69999694824219,66.94999694824219,67.75,988806,0.0,0.0
2021-01-12,67.5,69.32499694824219,67.07499694824219,68.55000305175781,1180350,0.0,0.0
2021-01-13,68.9000015258789,69.125,66.32499694824219,66.67500305175781,1033158,0.0,0.0
2021-01-14,67.2750015258789,71.19999694824219,66.30000305175781,69.19999694824219,3033284,0.0,0.0
2021-01-15,68.25,69.5,67.80000305175781,69.17500305175781,702356,0.0,0.0
2021-01-18,69.0999984741211,69.4749984741211,65.75,66.625,578938,0.0,0.0
2021-01-19,66.9749984741211,69.0,66.9749984741211,68.5,367284,0.0,0.0
2021-01-20,68.25,68.7249984741211,67.19999694824219,67.5999984741211,1368104,0.0,0.0
2021-01-21,67.94999694824219,69.25,67.9000015258789,68.2750015258789,391496,0.0,0.0
2021-01-22,68.30000305175781,70.9000015258789,68.30000305175781,69.0250015258789,675734,0.0,0.0
2021-01-25,69.375,69.375,66.25,66.6500015258789,328630,0.0,0.0
2021-01-27,67.67500305175781,69.75,66.82499694824219,69.07499694824219,1405380,0.0,0.0
2021-01-28,68.7750015258789,68.7750015258789,66.9000015258789,67.82499694824219,366374,0.0,0.0
2021-01-29,67.8499984741211,68.82499694824219,67.05000305175781,67.5,192050,0.0,0.0
2021-02-01,69.0,69.19999694824219,67.55000305175781,68.2750015258789,258950,0.0,0.0
2021-02-02,68.625,76.0,68.55000305175781,74.32499694824219,3251832,0.0,0.0
