date,open,high,low,close,volume,split_ratio,dividend
2021-01-01,2461.25,2462.25,2387.5,2408.949951171875,19872,0.0,0.0
2021-01-04,2443.5,2459.58740234375,2397.262451171875,2403.97509765625,15996,0.0,0.0
2021-01-05,2405.75,2437.199951171875,2357.5,2370.550048828125,18644,0.0,0.0
2021-01-06,2385.0,2404.487548828125,2360.0,2371.699951171875,14296,0.0,0.0
2021-01-07,2377.5,2397.5,2346.5,2359.487548828125,12160,0.0,0.0
2021-01-08,2531.237548828125,2637.5,2505.25,2551.262451171875,219628,0.0,0.0
2021-01-11,2562.5,2625.0,2450.25,2589.0625,118436,0.0,0.0
2021-01-12,2625.0,2637.5,2565.0,2591.987548828125,56892,0.0,0.0
2021-01-13,2602.25,2689.5,2602.25,2631.675048828125,121004,0.0,0.0
2021-01-14,2656.25,2656.25,2615.72509765625,2619.78759765625,23756,0.0,0.0
2021-01-15,2637.4375,2637.4375,2588.0,2594.875,16768,0.0,0.0
2021-01-18,2600.0,2608.52490234375,2525.39990234375,2550.0,18136,0.0,0.0
2021-01-19,2575.0,2579.800048828125,2539.78759765625,2550.862548828125,7384,0.0,0.0
2021-01-20,2575.0,2575.0,2537.75,2548.97509765625,7808,0.0,0.0
2021-01-21,2555.0,2562.5,2528.39990234375,2532.125,9460,0.0,0.0
2021-01-22,2537.762451171875,2554.5,2500.012451171875,2512.27490234375,10576,0.0,0.0
2021-01-25,2507.75,2537.5,2444.25,2476.39990234375,12572,0.0,0.0
2021-01-27,2469.0,2495.0,2437.75,2462.074951171875,8072,0.0,0.0
2021-01-28,2462.0,2492.5,2441.5,2483.78759765625,10444,0.0,0.0
2021-01-29,2494.987548828125,2524.75,2481.25,2497.512451171875,9664,0.0,0.0
2021-02-01,2512.25,2524.699951171875,2480.0,2492.35009765625,8076,0.0,0.0
2021-02-02,2525.0,2532.5,2494.5,2497.875,6280,0.0,0.0
2021-02-03,2487.5,2518.737548828125,2476.25,2495.28759765625,8084,0.0,0.0
2021-02-04,2497.52490234375,2520.0,2487.112548828125,2503.324951171875,8016,0.0,0.0
2021-02-05,2524.5,2573.33740234375,2485.625,2498.89990234375,11368,0.0,0.0
2021-02-08,2512.5,2527.0,2480.512451171875,2490.137451171875,12148,0.0,0.0
2021-02-09,2490.012451171875,2512.512451171875,2484.237548828125,2487.28759765625,5340,0.0,0.0
2021-02-10,2500.0,2525.0,2480.5,2504.262451171875,10896,0.0,0.0
2021-02-11,2525.0,2525.0,2475.75,2480.375,12528,0.0,0.0
2021-02-12,2477.0,2509.362548828125,2475.47509765625,2480.89990234375,7972,0.0,0.0
2021-02-15,2495.0,2505.0,2482.5,2484.41259765625,13008,0.0,0.0
2021-02-16,2487.512451171875,2489.5,2425.012451171875,2438.33740234375,22964,0.0,0.0
2021-02-17,2430.25,2446.25,2418.5625,2437.08740234375,10704,0.0,0.0
2021-02-18,2475.0,2493.75,2347.5,2380.64990234375,70580,0.0,0.0
2021-02-19,2386.75,2462.5,2386.75,2445.8125,36016,0.0,0.0
2021-02-22,2465.0,2465.0,2427.512451171875,2438.71240234375,16652,0.0,0.0
2021-02-23,2456.0,2457.25,2437.137451171875,2449.574951171875,8980,0.0,0.0
2021-02-24,2457.25,2482.0,2456.449951171875,2476.199951171875,6680,0.0,0.0
2021-02-25,2499.47509765625,2500.0625,2472.3125,2497.824951171875,12576,0.0,0.0
2021-02-26,2495.39990234375,2524.75,2475.0,2490.612548828125,17276,0.0,0.0
2021-03-01,2522.5,2631.25,2501.262451171875,2597.324951171875,53120,0.0,0.0
2021-03-02,2624.612548828125,2645.0,2575.71240234375,2612.91259765625,26000,0.0,0.0
