date,open,high,low,close,volume,dividend,daily_return,rolling_volatility_ann,var_95_threshold
2025-01-30,236.4499969482422,241.35000610351562,229.75,231.25,4982728,0.0,-0.03363979502339032,0.5708450229039409,-0.03688824310573973
2025-01-31,231.1999969482422,238.9499969482422,231.0,232.89999389648438,2773955,0.0,0.007135108741554097,0.572301750043506,-0.03688824310573973
2025-02-01,235.0,238.22999572753906,227.9199981689453,229.41000366210938,1810042,0.0,-0.01498493055318062,0.5732629328876642,-0.03688824310573973
2025-02-03,228.0,235.99000549316406,225.8800048828125,231.6699981689453,3318667,0.0,0.009851333728953637,0.5684504348840206,-0.03688824310573973
2025-02-04,233.0,235.0,225.14999389648438,227.02000427246094,2038241,0.0,-0.020071627458180252,0.5691212815865669,-0.03688824310573973
2025-02-05,229.11000061035156,237.47999572753906,228.3000030517578,230.52999877929688,2951508,0.0,0.015461168358641197,0.5701934574285035,-0.03688824310573973
2025-02-06,232.0,233.2899932861328,226.89999389648438,229.75999450683594,1860413,0.0,-0.0033401478182374378,0.5579719805262184,-0.03688824310573973
2025-02-07,230.39999389648438,233.0,224.00999450683594,226.4600067138672,2155188,0.0,-0.014362760584373913,0.5068128485590166,-0.03688824310573973
2025-02-10,228.0,228.00999450683594,219.0500030517578,221.24000549316406,1857059,0.0,-0.02305043303870702,0.4793083203743289,-0.03688824310573973
2025-02-11,220.8000030517578,221.3000030517578,203.0,204.27999877929688,7342608,0.0,-0.07665886048077875,0.5419949242217157,-0.03688824310573973
2025-02-12,204.0,204.7899932861328,195.2100067138672,200.25,5044344,0.0,-0.019727818696782307,0.5424815297112952,-0.03688824310573973
2025-02-13,201.64999389648438,208.27999877929688,198.9499969482422,200.55999755859375,5317424,0.0,0.0015480527270599342,0.5373049216542468,-0.03688824310573973
2025-02-14,201.10000610351562,201.85000610351562,181.72999572753906,184.89999389648438,11557786,0.0,-0.07808139136785885,0.590997678299279,-0.03688824310573973
2025-02-17,184.60000610351562,202.36000061035156,183.42999267578125,199.8800048828125,26392638,0.0,0.08101682791138787,0.6393394656147243,-0.03688824310573973
2025-02-18,199.89999389648438,205.3699951171875,192.61000061035156,197.66000366210938,11873240,0.0,-0.011106669834257232,0.6392726486326505,-0.03688824310573973
2025-02-19,190.0,203.8000030517578,187.00999450683594,200.41000366210938,9558625,0.0,0.013912779262622132,0.6421853201111855,-0.03688824310573973
2025-02-20,200.0,227.6999969482422,198.0399932861328,218.50999450683594,52563821,0.0,0.0903148072151283,0.7270153234816936,-0.03688824310573973
2025-02-21,216.77000427246094,222.5,206.30999755859375,209.0500030517578,16365410,0.0,-0.043293175108208515,0.735517365865294,-0.03688824310573973
2025-02-24,206.5500030517578,213.3000030517578,202.91000366210938,209.00999450683594,10490706,0.0,-0.00019138265648321884,0.7243893748786713,-0.03688824310573973
2025-02-25,209.3000030517578,219.5,206.00999450683594,210.72000122070312,13065159,0.0,0.008181459063247187,0.7208523440244556,-0.03688824310573973
2025-02-27,211.64999389648438,212.88999938964844,203.5500030517578,204.6199951171875,4967687,0.0,-0.028948396299251278,0.6363933669883429,-0.03688824310573973
2025-02-28,201.82000732421875,204.39999389648438,188.00999450683594,189.88999938964844,16574546,0.0,-0.07198707887322098,0.6698556280123297,-0.03688824310573973
2025-03-03,190.0,196.49000549316406,184.2899932861328,190.75,9012495,0.0,0.004528941034892986,0.6691499015557985,-0.03688824310573973
2025-03-04,189.0,196.3000030517578,187.30999755859375,194.80999755859375,5176385,0.0,0.02128439087074052,0.6765562472667025,-0.03688824310573973
2025-03-05,195.14999389648438,200.07000732421875,193.0,197.6199951171875,7097184,0.0,0.014424298515524514,0.678165698095652,-0.03688824310573973
2025-03-06,199.0,207.2899932861328,199.0,200.36000061035156,8104339,0.0,0.013865021560896418,0.6799052028287871,-0.03688824310573973
2025-03-07,200.9499969482422,204.72999572753906,200.0,201.4600067138672,5336750,0.0,0.005490148234002401,0.676984775037857,-0.03688824310573973
2025-03-10,203.0500030517578,208.9199981689453,199.8000030517578,200.5500030517578,6959133,0.0,-0.004517043739613591,0.6769490290402379,-0.03688824310573973
2025-03-11,199.99000549316406,206.99000549316406,198.2100067138672,201.41000366210938,9962095,0.0,0.004288210407703774,0.6769862229256107,-0.03688824310573973
2025-03-12,203.89999389648438,205.38999938964844,193.1699981689453,201.82000732421875,7229340,0.0,0.002035666822176374,0.6739894116442688,-0.03688824310573973
2025-03-13,202.5,205.2100067138672,199.60000610351562,201.83999633789062,4387080,0.0,9.904376645741841e-05,0.6192439567217494,-0.03688824310573973
2025-03-17,202.92999267578125,207.5500030517578,202.35000610351562,205.92999267578125,4758366,0.0,0.020263557333026094,0.6185652085287963,-0.03688824310573973
2025-03-18,205.92999267578125,205.92999267578125,205.92999267578125,205.92999267578125,0,0.0,0.0,0.618604398028677,-0.03688824310573973
2025-03-19,213.0,219.64999389648438,211.91000366210938,218.5,3616913,0.0,0.061040197014959,0.5781391209607812,-0.03688824310573973
2025-03-20,220.0,223.3000030517578,217.72999572753906,221.2899932861328,3183533,0.0,0.012768847991454502,0.5153645209647709,-0.03688824310573973
2025-03-21,227.0,233.50999450683594,223.00999450683594,226.8300018310547,11034038,0.0,0.025035061290632044,0.5160257010828175,-0.03688824310573973
2025-03-24,229.0,229.0,217.10000610351562,219.0399932861328,4331605,0.0,-0.034342937362950576,0.5347074267232548,-0.03688824310573973
2025-03-25,221.58999633789062,237.6999969482422,220.35000610351562,226.72000122070312,50941245,0.0,0.03506212641514228,0.4510518488377404,-0.03688824310573973
2025-03-26,226.72000122070312,227.6999969482422,217.14999389648438,219.0,6081700,0.0,-0.034050816774599424,0.4403288210781867,-0.03688824310573973
2025-03-27,218.8000030517578,221.35000610351562,215.3800048828125,218.7899932861328,4892533,0.0,-0.0009589347665168724,0.44039786873504033,-0.03688824310573973
2025-03-28,219.92999267578125,225.5,218.7100067138672,224.75,4694328,0.0,0.02724076464535896,0.44834569043791334,-0.03688824310573973
2025-04-01,224.0,226.44000244140625,220.3000030517578,225.52999877929688,3146079,0.0,0.003470517371732429,0.4326094661557341,-0.03688824310573973
2025-04-02,226.10000610351562,229.39999389648438,223.9499969482422,228.0,3362966,0.0,0.010951985252836582,0.32982673815570057,-0.03688824310573973
