date,open,high,low,close,volume,split_ratio,dividend,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200
2021-02-02,101.3499984741211,101.9749984741211,97.5500030517578,98.0250015258789,2816194,0.0,0.0,-0.028734222820797628,0.3886075543726696,-0.028734222820797628,4533098.3,89.00154467454989
2021-02-03,98.4749984741211,101.25,96.3499984741211,98.625,3140682,0.0,0.0,0.006120871867190791,0.3851762052583951,-0.028167189547382992,4585762.4,89.09730044893249
2021-02-04,99.0999984741211,102.75,97.5749969482422,101.625,4344868,0.0,0.0,0.03041825095057038,0.3920187033492655,-0.027600156273968356,4593927.0,89.22195417580878
2021-02-05,102.0,102.1999969482422,99.0,100.5,2589430,0.0,0.0,-0.011070110701106972,0.3511108236719379,-0.02703312300055372,4605094.5,89.33417353724352
2021-02-08,102.0,104.6500015258789,100.5999984741211,101.0749969482422,6679546,0.0,0.0,0.005721362669076635,0.3511163593308882,-0.026466089727139083,4845053.7,89.4509976507858
2021-02-09,101.75,106.25,100.1750030517578,102.75,9164964,0.0,0.0,0.016571883278072352,0.35233100054822,-0.02589905645372445,5212889.0,89.58332603237002
2021-02-10,102.7750015258789,103.1999969482422,98.75,99.5,4781796,0.0,0.0,-0.031630170316301665,0.3765291651448131,-0.030761386067650453,5387005.5,89.68199940518227
2021-02-11,99.9000015258789,100.2249984741211,98.5250015258789,98.8000030517578,1437952,0.0,0.0,-0.007035145208464377,0.3766354601073065,-0.03061658869287525,5395044.6,89.77272580962581
2021-02-12,98.9250030517578,101.6750030517578,96.5,96.8499984741211,4220948,0.0,0.0,-0.019736887827980776,0.3792083244912205,-0.03047179131810005,5562717.9,89.84314643315314
2021-02-15,97.5,99.0,96.5250015258789,96.6999969482422,1883158,0.0,0.0,-0.0015488025631613667,0.3773873186348401,-0.03032699394332485,5460496.6,89.91137380146249
2021-02-16,97.1999969482422,100.6500015258789,95.75,99.8499984741211,4409514,0.0,0.0,0.03257499095439376,0.38208111586332594,-0.030182196568549646,5220445.5,90.01026558925014
2021-02-17,100.0,102.6999969482422,97.4749984741211,98.6999969482422,7479460,0.0,0.0,-0.011517291371586191,0.3650293529347018,-0.030037399193774444,5294005.9,90.09673057789682
2021-02-18,100.75,104.25,100.0500030517578,101.4749984741211,8691282,0.0,0.0,0.028115517848841476,0.36636188077393306,-0.02989260181899924,5431742.6,90.20994717387916
