date,open,high,low,close,volume,dividend,daily_return,rolling_volatility_ann,var_95_threshold
2025-01-30,655.0,687.25,655.0,678.5499877929688,70594,0.0,0.03634973316986456,0.2908442848639435,-0.024644668438574203
2025-01-31,675.0,696.9500122070312,672.5499877929688,692.25,74057,0.0,0.02019012961976685,0.3000661353444228,-0.024644668438574203
2025-02-01,691.75,701.0499877929688,683.0499877929688,694.25,34293,0.0,0.002889129649693123,0.3005984445376582,-0.024644668438574203
2025-02-03,684.25,720.0,684.0,709.6500244140625,86417,0.0,0.022182246185181942,0.30075142796732895,-0.024644668438574203
2025-02-04,709.9000244140625,713.9500122070312,696.1500244140625,710.6500244140625,57404,0.0,0.0014091453048643565,0.3006865738086944,-0.024644668438574203
2025-02-05,710.0,725.0,710.0,715.75,64309,0.0,0.0071764939291214525,0.29904879940452367,-0.024644668438574203
2025-02-06,714.0499877929688,754.0,714.0499877929688,733.8499755859375,164966,0.0,0.025288125163726916,0.3019544360611916,-0.024644668438574203
2025-02-07,733.7000122070312,735.4000244140625,719.1500244140625,730.1500244140625,59814,0.0,-0.005041835926915206,0.2690040135011674,-0.024644668438574203
2025-02-10,741.0999755859375,759.0,722.0,748.0,209065,0.0,0.0244469971774115,0.2761276895386384,-0.024644668438574203
2025-02-11,748.0,749.75,710.0,718.8499755859375,86624,0.0,-0.03897062087441505,0.3135468300947453,-0.024644668438574203
2025-02-12,710.0,714.9000244140625,683.25,691.75,68733,0.0,-0.037699070051227634,0.33989408902444945,-0.024644668438574203
2025-02-13,688.0999755859375,696.5,660.0,668.4000244140625,100141,0.0,-0.03375493398762197,0.3537622586641174,-0.024644668438574203
2025-02-14,691.9500122070312,734.0,658.1500244140625,674.0999755859375,1120406,0.0,0.008527754284377353,0.3549477889336204,-0.024644668438574203
2025-02-17,664.7000122070312,668.0,624.75,644.9500122070312,164241,0.0,-0.04324278954849192,0.38182641107790727,-0.024644668438574203
2025-02-18,644.9500122070312,663.0,601.2999877929688,636.7999877929688,204134,0.0,-0.012636676114126999,0.38272607003720444,-0.024644668438574203
2025-02-19,630.0,653.2000122070312,625.9000244140625,633.6500244140625,149287,0.0,-0.004946550627024093,0.3822128487312457,-0.024644668438574203
2025-02-20,633.6500244140625,654.7000122070312,632.5,642.4500122070312,99597,0.0,0.013887773145919269,0.3781666717082028,-0.024644668438574203
