date,open,high,low,close,volume,daily_return,rolling_volatility_ann,var_95_threshold
2025-01-30,1324.449951171875,1370.0,1324.199951171875,1346.699951171875,80816,0.004250522872389917,0.34382826423238155,-0.03466565773783709
2025-01-31,1345.9000244140625,1355.0,1320.5,1348.75,43795,0.001522275861331357,0.34269159607967664,-0.03466565773783709
2025-02-01,1356.75,1381.949951171875,1342.550048828125,1372.25,12973,0.017423540315106623,0.34717379120733927,-0.03466565773783709
2025-02-03,1350.0,1491.949951171875,1350.0,1456.8499755859375,112858,0.06165055608375836,0.4091722893448201,-0.03466565773783709
2025-02-04,1423.0,1555.0,1423.0,1525.050048828125,300992,0.04681338118892975,0.43467415392457204,-0.03466565773783709
2025-02-05,1526.0,1563.9000244140625,1501.199951171875,1549.550048828125,306234,0.016065046533276783,0.43575568616808336,-0.03466565773783709
2025-02-06,1533.9000244140625,1554.300048828125,1475.0,1486.4000244140625,166726,-0.040753781694125246,0.4619230581278988,-0.03466565773783709
2025-02-07,1490.0,1498.9000244140625,1419.949951171875,1431.449951171875,85704,-0.036968563199431315,0.4717800080407481,-0.03466565773783709
2025-02-10,1435.050048828125,1458.8499755859375,1368.0,1395.949951171875,49434,-0.024800028789646045,0.4683072212718432,-0.03466565773783709
2025-02-11,1385.75,1385.9000244140625,1305.9000244140625,1335.550048828125,39313,-0.04326795691567975,0.48497794117529347,-0.03466565773783709
2025-02-12,1325.0,1331.4000244140625,1280.050048828125,1302.6500244140625,94163,-0.024634063278220486,0.4764459446468064,-0.03466565773783709
2025-02-13,1349.4000244140625,1349.4000244140625,1265.0,1273.050048828125,152662,-0.022722891821425062,0.46921680756143613,-0.03466565773783709
2025-02-14,1304.300048828125,1310.0,1202.199951171875,1230.6500244140625,172018,-0.03330585820494081,0.4814743615621452,-0.03466565773783709
2025-02-17,1205.1500244140625,1250.0,1197.949951171875,1245.5999755859375,36729,0.012148011924830504,0.46828441519466496,-0.03466565773783709
2025-02-18,1245.5999755859375,1262.0,1200.0,1254.8499755859375,86178,0.007426140158399264,0.46567262822547956,-0.03466565773783709
2025-02-19,1245.0999755859375,1269.0,1235.199951171875,1260.25,33145,0.004303322723133496,0.4657124750432517,-0.03466565773783709
2025-02-20,1240.550048828125,1309.949951171875,1240.550048828125,1300.6500244140625,68511,0.032057150893919806,0.4763681398338893,-0.03466565773783709
2025-02-21,1304.550048828125,1349.050048828125,1282.0,1315.6500244140625,45058,0.01153269497438969,0.47626870420366074,-0.03466565773783709
2025-02-24,1333.0,1333.0,1270.0,1277.6500244140625,33375,-0.028883061068557092,0.47527576035902425,-0.03466565773783709
2025-02-25,1275.0,1300.0,1260.0,1284.050048828125,22167,0.005009215584680593,0.46632287679761125,-0.03466565773783709
2025-02-27,1271.300048828125,1298.050048828125,1235.449951171875,1254.199951171875,23875,-0.02324683347311296,0.46201122994214394,-0.03466565773783709
2025-02-28,1244.5999755859375,1301.300048828125,1226.0,1264.8499755859375,126694,0.008491488461717323,0.4630567788560583,-0.03466565773783709
2025-03-03,1240.0,1264.550048828125,1213.9000244140625,1236.199951171875,40196,-0.02265092696135007,0.467905864127099,-0.03466565773783709
2025-03-04,1233.949951171875,1282.300048828125,1203.0,1271.9000244140625,50474,0.028878882585576138,0.47604291659751025,-0.03466565773783709
2025-03-05,1270.0,1270.0,1240.0,1245.300048828125,27549,-0.020913574239603938,0.41656170340025084,-0.03466565773783709
2025-03-06,1264.0,1278.0,1240.3499755859375,1269.800048828125,79340,0.019673973371361786,0.3814179629598311,-0.03466565773783709
2025-03-07,1270.0999755859375,1324.800048828125,1261.5,1287.300048828125,62328,0.013781697375228719,0.379649911515929,-0.03466565773783709
2025-03-10,1274.449951171875,1300.0,1235.699951171875,1243.800048828125,40412,-0.03379165567468101,0.37290723833196443,-0.03466565773783709
2025-03-11,1225.0,1240.0,1201.1500244140625,1212.5999755859375,66186,-0.025084476617912466,0.3635030722003784,-0.03466565773783709
2025-03-12,1216.6500244140625,1250.0,1201.0,1210.800048828125,54676,-0.0014843532855447483,0.35855700440263105,-0.03466565773783709
2025-03-13,1220.0,1223.25,1159.050048828125,1174.0,35795,-0.03039316761156563,0.3444211199103531,-0.03466565773783709
2025-03-17,1179.9000244140625,1186.3499755859375,1134.75,1145.550048828125,27861,-0.02423334852800252,0.34414911566863415,-0.03466565773783709
2025-03-18,1145.550048828125,1145.550048828125,1145.550048828125,1145.550048828125,0,0.0,0.3390989125722887,-0.03466565773783709
2025-03-19,1163.199951171875,1174.9000244140625,1128.8499755859375,1149.050048828125,79325,0.003055300816913631,0.32361813134631146,-0.03466565773783709
2025-03-20,1173.25,1184.0,1151.25,1165.1500244140625,64059,0.014011552936582072,0.3247840781191708,-0.03466565773783709
2025-03-21,1171.0,1182.3499755859375,1158.4000244140625,1169.5,28492,0.0037334038491094734,0.32354366189761996,-0.03466565773783709
2025-03-24,1173.0,1176.0,1142.0,1147.9000244140625,119873,-0.018469410505290718,0.32653688272273057,-0.03466565773783709
2025-03-25,1160.0,1160.050048828125,1105.1500244140625,1130.550048828125,177954,-0.015114535427241282,0.30031225595178107,-0.03466565773783709
2025-03-26,1144.9000244140625,1144.9000244140625,1116.050048828125,1127.199951171875,86239,-0.002963245775560841,0.29347699134003563,-0.03466565773783709
2025-03-27,1130.949951171875,1145.5,1115.1500244140625,1136.5999755859375,73696,0.008339269713674158,0.28703464480683294,-0.03466565773783709
2025-03-28,1136.449951171875,1154.449951171875,1125.0,1137.0,67771,0.00035194828669271594,0.2853553474304789,-0.03466565773783709
2025-04-01,1152.0,1162.0,1139.550048828125,1154.6500244140625,38074,0.015523328420459448,0.2867821363241488,-0.03466565773783709
2025-04-02,1162.8499755859375,1179.9000244140625,1143.1500244140625,1161.9000244140625,46033,0.006278958859139205,0.2856901389333752,-0.03466565773783709
2025-04-03,1163.449951171875,1192.6500244140625,1155.800048828125,1177.699951171875,78443,0.013598353064653956,0.2832660575678904,-0.03466565773783709
2025-04-04,1184.5999755859375,1222.050048828125,1150.1500244140625,1190.0,36007,0.010444127823802551,0.2643889573277989,-0.03466565773783709
2025-04-07,1080.0,1199.0,1080.0,1146.5999755859375,117501,-0.03647060875131303,0.28251782529562863,-0.03466565773783709
2025-04-08,1161.0,1161.1500244140625,1116.25,1124.8499755859375,76810,-0.018969126515884782,0.27368580193801145,-0.03466565773783709
2025-04-09,1123.0,1139.25,1105.050048828125,1126.5999755859375,32742,0.0015557630243876464,0.265936963098884,-0.03466565773783709
2025-04-11,1135.6500244140625,1180.0,1130.0,1160.550048828125,121053,0.030134984890737515,0.2744157066975911,-0.03466565773783709
2025-04-15,1172.0,1392.699951171875,1172.0,1330.9000244140625,116686,0.1467838252714304,0.5785927999620541,-0.03466565773783709
2025-04-16,1353.0,1353.0,1266.0999755859375,1309.9000244140625,126775,-0.01577879601380683,0.5827260294690598,-0.03466565773783709
2025-04-17,1332.0,1332.0,1291.0,1312.300048828125,49053,0.001832219535331303,0.5690469728636435,-0.03466565773783709
2025-04-21,1315.0999755859375,1425.0,1292.199951171875,1372.800048828125,115444,0.04610226148663643,0.574274471016923,-0.03466565773783709
2025-04-22,1385.9000244140625,1400.0,1358.300048828125,1384.9000244140625,34176,0.008814084466464367,0.5732989815541875,-0.03466565773783709
2025-04-23,1380.0,1391.5,1344.0999755859375,1351.300048828125,33744,-0.024261661487191666,0.5849536193305406,-0.03466565773783709
2025-04-24,1364.800048828125,1364.800048828125,1326.199951171875,1341.199951171875,20751,-0.007474356021084261,0.5870675564369761,-0.03466565773783709
2025-04-25,1331.0,1340.0,1294.199951171875,1322.5999755859375,32232,-0.013868160053007617,0.5915764400913406,-0.03466565773783709
2025-04-28,1330.0,1330.0,1287.0999755859375,1321.0,27735,-0.001209719957259714,0.5853882826879239,-0.03466565773783709
2025-04-29,1328.0999755859375,1364.800048828125,1310.4000244140625,1344.4000244140625,42189,0.017713871623060262,0.580564504615925,-0.03466565773783709
2025-04-30,1360.0,1384.4000244140625,1300.0,1314.5,75569,-0.022240422397414084,0.5892942099777614,-0.03466565773783709
2025-05-02,1314.5,1348.5,1276.0999755859375,1291.300048828125,73568,-0.017649259164606357,0.5959239663011989,-0.03466565773783709
2025-05-05,1288.5999755859375,1333.300048828125,1266.0,1325.0999755859375,28346,0.026175114597483784,0.5991498940400105,-0.03466565773783709
2025-05-06,1330.699951171875,1330.699951171875,1293.0999755859375,1307.0999755859375,31369,-0.013583880712125684,0.602988609602606,-0.03466565773783709
2025-05-07,1271.800048828125,1348.0,1271.800048828125,1332.0,36600,0.019049823945487043,0.6045323720775851,-0.03466565773783709
