date,open,high,low,close,volume,dividend,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200
2021-02-02,330.0,335.70001220703125,318.5,319.75,1641835,0.0,-0.01796684887547506,0.3231652326037971,-0.03147957835313555,1506868.65,357.7292883950099
2021-02-03,322.75,346.8500061035156,322.75,343.6000061035156,2970266,0.0,0.07458954215329361,0.42525045321481897,-0.03147957835313555,1599236.65,357.58869852146273
2021-02-04,344.0,356.0,344.0,347.6000061035156,2076164,0.0,0.011641443332206736,0.42660505929500375,-0.03147957835313555,1649903.7,357.4893085471548
2021-02-05,350.0,350.0,335.70001220703125,336.8500061035156,1386733,0.0,-0.030926351585847334,0.43873648699881046,-0.03147957835313555,1575227.15,357.28394235368575
2021-02-08,339.5,340.20001220703125,329.20001220703125,331.6000061035156,1063934,0.25,-0.015585571930750275,0.43271210981684993,-0.03147957835313555,1582056.05,357.0283807989577
2021-02-09,331.95001220703125,333.79998779296875,326.25,326.8999938964844,1168863,0.0,-0.014173739808569397,0.4323305881461335,-0.03147957835313555,1598642.0,356.7285958546545
2021-02-10,333.0,342.95001220703125,332.79998779296875,338.5,2110573,0.0,0.03548487708809467,0.4528159180561068,-0.03147957835313555,1666723.0,356.5472167914241
2021-02-11,338.5,338.5,329.04998779296875,330.04998779296875,1140530,0.0,-0.02496310844026961,0.45918677332636304,-0.03147957835313555,1612633.75,356.283562771539
2021-02-12,330.29998779296875,338.1000061035156,330.04998779296875,336.1499938964844,1059556,0.0,0.018482067350785725,0.45872293385764035,-0.03147957835313555,1563313.1,356.0832287528817
2021-02-15,338.5,354.5,336.0,351.95001220703125,3190427,0.0,0.0470028814440866,0.4913757444087825,-0.03147957835313555,1670183.45,356.0421022200872
2021-02-16,352.95001220703125,358.6499938964844,345.20001220703125,351.0,1317585,0.0,-0.0026992816425089883,0.4817964838257437,-0.03147957835313555,1691803.25,355.991932048743
2021-02-17,351.75,353.1000061035156,340.0,340.8500061035156,1444212,0.0,-0.028917361528445484,0.4810369413914536,-0.03147957835313555,1734439.25,355.8412661189398
2021-02-18,343.5,344.0,335.0,335.79998779296875,1554700,0.0,-0.014815954877856696,0.4805394223677075,-0.03147957835313555,1774335.85,355.6418504142038
2021-02-19,335.79998779296875,336.45001220703125,328.0,329.6499938964844,1223595,0.0,-0.018314455390260553,0.4839520410710592,-0.03147957835313555,1781905.8,355.3832249762166
2021-02-22,330.79998779296875,331.29998779296875,320.1499938964844,321.1499938964844,1146022,0.0,-0.025784923881021382,0.4848699040464929,-0.03147957835313555,1776198.2,355.04259581124415
2021-02-23,324.8999938964844,327.0,315.1000061035156,321.6000061035156,1514625,0.0,0.0014012524228048662,0.48446018904170923,-0.03147957835313555,1775953.7,354.7098337246001
2021-02-24,323.29998779296875,349.0,319.04998779296875,325.0,776799,0.0,0.010572120124245243,0.4693851255592751,-0.03147957835313555,1663334.1,354.4142134885345
2021-02-25,327.0,337.8500061035156,325.6499938964844,326.54998779296875,2176303,0.0,0.0047691932091347145,0.4645323582395157,-0.03147957835313555,1614082.65,354.1369575114642
2021-02-26,323.0,336.0,319.3500061035156,323.6499938964844,2583855,0.0,-0.00888070434815924,0.46489994647902877,-0.03147957835313555,1650646.45,353.83360463967335
2021-03-01,326.8500061035156,344.3999938964844,325.04998779296875,341.79998779296875,3335215,0.0,0.05607907999000128,0.48199444336272157,-0.03147957835313555,1744089.6,353.71386715861166
2021-03-02,344.5,345.5,334.5,336.25,1997954,0.0,-0.01623753069391687,0.4690833223348129,-0.03147957835313555,1761895.55,353.54009733613793
2021-03-03,338.25,369.0,338.25,364.3999938964844,10446684,0.0,0.08371745396723984,0.5413901643751482,-0.03147957835313555,2135716.45,353.6481560083802
2021-03-04,361.0,374.45001220703125,353.95001220703125,363.75,5865038,0.0,-0.0017837373967383163,0.4822828345098097,-0.03147957835313555,2325160.15,353.74867186899337
2021-03-05,356.0,364.75,338.0,349.1000061035156,3493862,0.0,-0.04027489730992273,0.5038114662142831,-0.03147957835313555,2430516.6,353.70241648824236
2021-03-08,353.0,359.29998779296875,345.0,345.8999938964844,1737167,0.0,-0.009166462764490402,0.4921178207448161,-0.03147957835313555,2464178.25,353.6247804425533
2021-03-09,347.0,349.6499938964844,333.0,339.75,1770481,0.0,-0.017779687785495768,0.49314706152182,-0.03147957835313555,2494259.15,353.486722925712
2021-03-10,342.0,352.95001220703125,341.5,350.3500061035156,2655699,0.0,0.03119942929658759,0.4998565676698924,-0.03147957835313555,2521515.45,353.45551181305336
2021-03-12,353.54998779296875,359.70001220703125,342.70001220703125,346.25,3281770,0.0,-0.011702600348476144,0.4887320671622389,-0.03147957835313555,2628577.45,353.3838151780976
2021-03-15,346.95001220703125,346.95001220703125,330.8999938964844,334.95001220703125,2198225,0.0,-0.03263534380640798,0.49465693784512565,-0.03147957835313555,2685510.9,353.2003942530124
2021-03-16,336.0,340.0,330.45001220703125,331.20001220703125,1981170,0.0,-0.01119570044285334,0.49223499566658313,-0.03147957835313555,2625048.05,352.98148497892305
2021-03-17,332.8500061035156,335.8999938964844,320.0,321.1000061035156,1780973,0.0,-0.030495186386654383,0.4712385578305193,-0.03147957835313555,2648217.45,352.6642563333966
2021-03-18,326.0,326.70001220703125,303.0,305.79998779296875,3901628,0.0,-0.04764876368645876,0.49486844794164153,-0.03147957835313555,2771088.25,352.19794520364115
2021-03-19,305.0,315.5,295.0,313.20001220703125,3209738,0.0,0.024198903562652863,0.498192765362981,-0.03147957835313555,2853840.15,351.80990606934654
2021-03-22,314.79998779296875,319.0,309.75,311.20001220703125,1680817,0.0,-0.006385695791984669,0.49664656092442017,-0.03147957835313555,2876701.25,351.4058275234529
2021-03-23,312.79998779296875,319.0,310.04998779296875,317.0,3056065,0.0,0.018637492176929005,0.49892983432697324,-0.03147957835313555,2972203.4,351.063480980931
2021-03-24,319.0,329.70001220703125,317.1499938964844,318.3999938964844,6551571,0.0,0.004416384531496398,0.4912408449164151,-0.03147957835313555,3224050.7,350.7384711591952
2021-03-25,320.5,321.79998779296875,304.0,305.1000061035156,3153100,0.0,-0.041771319245981986,0.5120558883318452,-0.03147957835313555,3342865.75,350.28435707903924
