date,open,high,low,close,volume,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200
2021-02-02,67.0,69.9000015258789,65.05000305175781,67.19999694824219,8001,-0.011037528089534399,0.5805961952931014,-0.04990325811854533,17929.9,68.42338653323665
2021-02-03,66.9000015258789,70.55000305175781,65.25,70.4000015258789,15619,0.04761911790117157,0.5786763978731952,-0.04990325811854533,18208.55,68.44305434410872
2021-02-04,66.9000015258789,71.0,66.9000015258789,69.9000015258789,9549,-0.007102272573335067,0.5498796455447167,-0.04990325811854533,18208.25,68.457551330992
2021-02-05,69.30000305175781,69.30000305175781,66.44999694824219,66.5,19515,-0.048640936361355136,0.5376904478648487,-0.04990325811854533,18634.6,68.43807320829556
2021-02-08,67.9000015258789,67.9000015258789,63.400001525878906,67.0999984741211,12850,0.009022533445429914,0.500492324472535,-0.04990325811854533,12067.7,68.42475903183612
2021-02-09,67.0999984741211,67.0999984741211,64.30000305175781,64.75,5494,-0.035022332750535456,0.49263890929241516,-0.04990325811854533,10293.3,68.3881942653502
2021-02-10,65.0,67.9000015258789,62.45000076293945,67.4000015258789,22723,0.04092666449233828,0.5018320324362849,-0.04990325811854533,9832.6,68.37836150177337
2021-02-11,65.30000305175781,69.0,65.30000305175781,67.75,4993,0.005192855581564126,0.4984330670538841,-0.04990325811854533,9046.1,68.3721091485219
2021-02-12,66.0,68.0,66.0,67.5,154558,-0.0036900369003689537,0.4636388483942555,-0.04990325811854533,16228.1,68.36343144555154
2021-02-15,70.75,70.8499984741211,67.0999984741211,70.1500015258789,22819,0.03925928186487271,0.48564123055040087,-0.04990325811854533,17113.45,68.38120826227123
2021-02-16,70.1500015258789,73.6500015258789,70.1500015258789,73.6500015258789,47866,0.04989308515850599,0.5202000510981389,-0.04990325811854533,19297.9,68.43363406588922
2021-02-17,77.30000305175781,77.30000305175781,76.0,77.30000305175781,16546,0.04955874338436206,0.5232958578023564,-0.04990325811854533,19771.05,68.52185664286304
2021-02-18,81.1500015258789,81.1500015258789,78.0,81.1500015258789,32703,0.04980592913487003,0.523477072830576,-0.04990325811854533,21169.85,68.64750982577863
2021-02-19,84.9000015258789,85.19999694824219,77.1500015258789,80.30000305175781,31730,-0.010474411067632916,0.5090595653514445,-0.04990325811854533,22076.1,68.76345503200729
2021-02-22,80.0,83.0,76.30000305175781,76.30000305175781,18948,-0.049813198605008546,0.5179593557576078,-0.04990325811854533,22796.2,68.83844555956699
2021-02-23,76.30000305175781,76.30000305175781,72.5,74.30000305175781,8167,-0.026212318741891893,0.5312550455457618,-0.04990325811854533,22981.6,68.89278941521069
2021-02-24,73.0,76.0,71.5,75.6500015258789,2554,0.01816956148952875,0.5168919499378091,-0.04990325811854533,22790.4,68.96002535661037
2021-02-25,73.5,79.4000015258789,73.5,79.4000015258789,27515,0.049570388953887434,0.5341666027537957,-0.04990325811854533,23878.85,69.0639057165036
2021-02-26,75.55000305175781,83.3499984741211,75.55000305175781,81.5,20763,0.026448342994510377,0.5367416478422373,-0.04990325811854533,24592.65,69.18764794818019
2021-03-01,81.3499984741211,85.0,77.5,84.30000305175781,48687,0.034355865665740115,0.5283687437252731,-0.04990325811854533,26580.0,69.3380196407531
2021-03-02,85.44999694824219,88.0999984741211,80.5,87.69999694824219,14351,0.040332073231324594,0.5376792151359582,-0.04990325811854533,26897.5,69.52072588261866
2021-03-03,87.0,91.94999694824219,83.5999984741211,91.55000305175781,20349,0.043899729047741864,0.5407006011572831,-0.04990325811854533,27134.0,69.7399226703713
2021-03-04,87.5999984741211,96.0,87.5999984741211,95.69999694824219,20088,0.04533035235551197,0.539036988775156,-0.04990325811854533,27660.95,69.99823186716604
2021-03-05,99.9000015258789,100.0,91.55000305175781,99.0,24391,0.03448279160910084,0.5365266297994694,-0.04990325811854533,27904.75,70.28680667445792
2021-03-08,97.05000305175781,103.94999694824219,97.05000305175781,103.94999694824219,11336,0.049999969174163494,0.4907296150739651,-0.04990325811854533,27829.05,70.62176379161001
2021-03-09,109.0,109.0999984741211,104.1500015258789,109.0999984741211,41492,0.049543065676501685,0.4973066266691255,-0.04990325811854533,29628.95,71.00463179840116
2021-03-10,114.0,114.55000305175781,110.1500015258789,113.0,31355,0.0357470355675944,0.44984588065672976,-0.04990325811854533,30060.55,71.42249615861608
2021-03-12,118.4000015258789,118.6500015258789,108.0,118.6500015258789,32009,0.05000001350335315,0.4543958039984604,-0.04990325811854533,31411.35,71.89242158515601
2021-03-15,124.55000305175781,124.55000305175781,119.0999984741211,124.55000305175781,76495,0.049726097345157205,0.4528043455874553,-0.04990325811854533,27508.2,72.41637761964957
2021-03-16,129.89999389648438,130.75,120.05000305175781,130.75,42820,0.04977917941652499,0.4406875082597136,-0.04990325811854533,28508.25,72.99681167318539
2021-03-17,134.0,136.0,124.25,126.05000305175781,58122,-0.03594643937470121,0.49898554993754446,-0.04990325811854533,29021.05,73.52470412471348
2021-03-18,129.89999389648438,129.89999389648438,119.75,119.75,35789,-0.04998018960119299,0.5617143503835454,-0.04990325811854533,29983.2,73.98465731750241
2021-03-19,113.80000305175781,124.5999984741211,113.80000305175781,123.19999694824219,14359,0.02880999539241902,0.5543765049223418,-0.04990325811854533,29066.0,74.47436218945006
2021-03-22,123.19999694824219,129.35000610351562,118.19999694824219,122.5,12117,-0.005681793551799097,0.5539275109839288,-0.04990325811854533,28085.35,74.95222923234111
2021-03-23,118.30000305175781,128.0,116.4000015258789,118.05000305175781,22920,-0.03632650569993623,0.5787570802165373,-0.04990325811854533,28283.95,75.38106280268357
2021-03-24,120.0,120.0,113.5,115.5999984741211,23102,-0.020753956072009028,0.542760390577543,-0.04990325811854533,29030.7,75.78125121732475
2021-03-25,111.30000305175781,115.5999984741211,109.8499984741211,109.8499984741211,8457,-0.049740485085622455,0.5735419119808928,-0.04990325811854533,29325.85,76.12024372734263
2021-03-26,104.44999694824219,115.19999694824219,104.44999694824219,107.8499984741211,24981,-0.01820664567848096,0.5881946292355307,-0.04990325811854533,29199.15,76.43596268004688
2021-03-30,107.0,110.94999694824219,103.5,103.94999694824219,8755,-0.03616134984753594,0.604388972502471,-0.04990325811854533,28598.75,76.70973416530256
2021-03-31,108.0,108.0,101.25,103.9000015258789,6774,-0.00048095645821111255,0.6043765395187133,-0.04990325811854533,26503.1,76.98028408928839
2021-04-01,107.0,107.0,98.75,98.94999694824219,33247,-0.04764200678480068,0.6327889500214021,-0.04990325811854533,27447.9,77.19888819733768
2021-04-05,99.0,103.80000305175781,98.0,103.4000015258789,9154,0.0449722558350798,0.6359341898606913,-0.04990325811854533,26888.15,77.45959579264655
2021-04-06,105.0,107.80000305175781,100.69999694824219,100.69999694824219,10062,-0.02611222957246251,0.6332596074152108,-0.04990325811854533,26386.85,77.69084356533904
2021-04-07,100.80000305175781,105.5,100.55000305175781,105.0,5947,0.04270112395304171,0.6312278470052004,-0.04990325811854533,25464.65,77.96257646518642
2021-04-08,105.0,108.0,102.5,105.55000305175781,18046,0.005238124302455294,0.6221853911154834,-0.04990325811854533,25800.15,78.23707822226673
2021-04-09,109.80000305175781,109.80000305175781,102.5999984741211,103.25,12847,-0.02179064884185722,0.6044441451781984,-0.04990325811854533,24367.9,78.48596301607503
2021-04-12,106.1500015258789,106.1500015258789,98.0999984741211,98.30000305175781,6186,-0.04794185906287829,0.5988188223722961,-0.04990325811854533,23109.45,78.68311764329577
2021-04-13,93.55000305175781,103.0,93.55000305175781,99.9000015258789,2644,0.01627668793945669,0.586085159001428,-0.04990325811854533,21641.2,78.8942309157593
2021-04-15,101.5999984741211,101.5999984741211,96.0,96.55000305175781,2730,-0.03353351774727731,0.5576964572183988,-0.04990325811854533,17952.95,79.0699102404956
2021-04-16,97.0,99.75,93.0,94.5,12838,-0.02123255294625792,0.5158606431314043,-0.04990325811854533,16453.85,79.22344347193346
2021-04-19,89.80000305175781,98.9000015258789,89.80000305175781,90.44999694824219,7160,-0.04285717515087628,0.4728255417451431,-0.04990325811854533,13905.75,79.33515047169773
2021-04-20,94.0,94.5,90.0,91.3499984741211,3265,0.009950265961798932,0.47633507076600695,-0.04990325811854533,12279.55,79.45470119809
2021-04-22,91.4000015258789,94.44999694824219,86.80000305175781,88.5,9141,-0.031198670188576805,0.46310965525789527,-0.04990325811854533,12018.65,79.54470417124334
2021-04-23,84.4000015258789,92.8499984741211,84.0999984741211,90.25,6779,0.019774011299435124,0.45357141021351305,-0.04990325811854533,11751.75,79.65122452774838
2021-04-26,92.0999984741211,94.75,90.4000015258789,93.05000305175781,12539,0.031024964562413437,0.4794656561693224,-0.04990325811854533,11232.7,79.78454570709177
