date,open,high,low,close,volume,dividend,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200
2021-02-02,946.0,998.5999755859375,944.8499755859375,987.8499755859375,3424514,0.0,0.05280825795332067,0.38227835672505484,-0.0296815123880667,2375898.25,846.3211946020965
2021-02-03,997.1500244140625,1029.9000244140625,990.0,1004.4500122070312,3255375,0.0,0.016804208160502876,0.3820799913376718,-0.0296815123880667,2470546.9,847.8946156727924
2021-02-04,1002.7999877929688,1022.0,998.0499877929688,1003.3499755859375,1704896,0.0,-0.0010951631317885901,0.37773212509363896,-0.0296815123880667,2399324.9,849.4414351744158
2021-02-05,1010.0,1040.8499755859375,989.4500122070312,1001.2000122070312,3672736,0.0,-0.002142785101131528,0.36397283379675205,-0.0296815123880667,2501738.3,850.9514707667802
2021-02-08,1005.0,1045.5,1004.1500244140625,1040.4000244140625,2191241,0.0,0.039153028095374465,0.38013367052219255,-0.0296815123880667,2514883.6,852.8365310020766
2021-02-09,1040.4000244140625,1089.800048828125,1040.0,1079.5999755859375,4814340,0.0,0.03767776840831183,0.39036981861670206,-0.0296815123880667,2685766.2,855.0928836845032
2021-02-10,1070.0999755859375,1096.0999755859375,1056.9000244140625,1091.050048828125,3676383,0.0,0.010605848000295737,0.3900794079553908,-0.0296815123880667,2807022.7,857.4407161734946
2021-02-11,1080.25,1111.0,1080.25,1103.199951171875,2211263,0.0,0.011135971587004523,0.38264582721566137,-0.0296815123880667,2855284.9,859.8860816958666
2021-02-12,1099.699951171875,1132.0,1060.25,1079.199951171875,7728222,0.0,-0.021754895814222963,0.39402860338804907,-0.0296815123880667,3104152.5,862.0683092528418
2021-02-15,1090.0,1095.0,1052.300048828125,1058.0,2114945,0.0,-0.01964413651877439,0.40506495617528504,-0.0296815123880667,3118042.45,864.0178783150026
2021-02-16,1065.0,1074.9000244140625,1026.0,1037.6500244140625,3350162,0.0,-0.01923438146118861,0.39755622648992095,-0.0296815123880667,3192005.1,865.7455613607644
2021-02-17,1027.0,1049.0,1019.0,1032.0999755859375,2577679,0.0,-0.005348671225887558,0.3999586655291897,-0.0296815123880667,3259385.1,867.4008291640001
