date,open,high,low,close,volume,split_ratio,dividend,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200
2021-02-02,893.7999877929688,905.5999755859376,876.2000122070312,896.5,18375530,0.0,0.0,0.012273743049870944,0.29556126285346607,-0.037923364522789105,5518689.25,1041.6807950331818
2021-02-03,915.7899780273438,952.3200073242188,908.489990234375,929.9099731445312,17227025,0.0,0.0,0.03726712007198141,0.3309986018574726,-0.03773013171015492,6141494.5,1040.5686475517027
2021-02-04,938.5999755859376,941.2000122070312,924.4199829101562,933.5900268554688,6508800,0.0,0.0,0.0039574300923919115,0.3314065391424199,-0.03753689889752073,6331265.0,1039.5041836641778
2021-02-05,937.0,966.0,925.1300048828124,960.1799926757812,12038405,0.0,0.0,0.028481415884307637,0.3516058620523945,-0.03734366608488655,6769862.0,1038.7148882314575
2021-02-08,973.0,981.989990234375,965.0,971.9600219726562,10792890,0.0,0.0,0.012268563588840209,0.3563006044945987,-0.037150433272252356,7107210.75,1038.0506607064945
2021-02-09,970.0,979.1400146484376,961.0,968.8200073242188,6233845,0.0,0.0,-0.0032306006188038694,0.35129992390709897,-0.03695720045961817,7188941.25,1037.3617984837854
2021-02-10,969.0,976.8200073242188,952.2000122070312,964.8099975585938,5767115,0.0,0.0,-0.004139065807177378,0.34439158146917853,-0.03676396764698399,7290204.0,1036.639890016868
2021-02-11,964.2000122070312,972.0,962.0,965.010009765625,3557750,0.0,0.0,0.00020730735329999028,0.3440834380259421,-0.0365707348343498,7303288.5,1035.92715488999
2021-02-12,971.9600219726562,971.9600219726562,957.0,958.4000244140624,2504510,0.0,0.0,-0.0068496547027195875,0.343190913370348,-0.036377502021715614,7294771.0,1035.1557406563988
2021-02-15,958.4000244140624,966.7100219726562,940.010009765625,941.969970703125,4923205,0.0,0.0,-0.017143210864359326,0.3445724451744103,-0.036184269209081424,7412051.0,1034.228519064824
2021-02-16,945.7999877929688,952.3200073242188,934.0,939.3200073242188,4064700,0.0,0.0,-0.0028132142863622756,0.3415610322010362,-0.03599103639644724,7394683.25,1033.2841557639224
2021-02-17,939.3200073242188,941.989990234375,916.0,920.1099853515624,5106775,0.0,0.0,-0.02045098776015508,0.3333639840256503,-0.035797803583813056,7450497.25,1032.1580446155408
2021-02-18,921.4000244140624,932.77001953125,912.0,923.3900146484376,5147530,0.0,0.0,0.0035648230636493583,0.3319906339700804,-0.035604570771178866,7537966.5,1031.0757756606442
2021-02-19,920.4000244140624,945.5999755859376,906.0,936.2899780273438,6392670,0.0,0.0,0.013970221871868027,0.3379821221045341,-0.03541133795854468,7712269.0,1030.1326333956363
2021-02-22,941.5999755859376,945.3900146484376,888.6300048828125,893.8499755859375,6976565,0.0,0.0,-0.045327840132201924,0.3675634461820666,-0.04014470720561295,7870316.75,1028.7765870492713
2021-02-23,899.5999755859375,906.8599853515624,884.0999755859375,899.030029296875,5317090,0.0,0.0,0.00579521603448252,0.3695952742326203,-0.03977448342514231,7956726.5,1027.485576524372
2021-02-24,899.030029296875,904.75,875.4000244140625,887.1099853515625,3677930,0.0,0.0,-0.013258782862498042,0.36687941729449297,-0.03940425964467167,7877524.0,1026.0888044729013
2021-02-25,884.22998046875,918.0,884.22998046875,896.030029296875,8531875,0.0,0.0,0.010055172518182776,0.35635334272109964,-0.039034035864201025,8045844.25,1024.7946873069707
2021-02-26,892.0,911.719970703125,881.0,885.3099975585938,7534450,0.0,0.0,-0.011963920167601283,0.3572079829718279,-0.03866381208373039,7681518.0,1023.4067799462903
2021-03-01,889.0,895.5999755859375,880.0499877929688,890.6799926757812,3545365,0.0,0.0,0.006065666412890636,0.3066272816460466,-0.03829358830325975,7211201.25,1022.086115396335
2021-03-02,894.6799926757812,895.97998046875,878.030029296875,880.9400024414062,9188390,0.0,0.0,-0.010935454163637504,0.2791315367630905,-0.037923364522789105,6751844.25,1020.6816764614601
2021-03-03,893.0,903.1500244140624,885.2000122070312,900.510009765625,4253070,0.0,0.0,0.022214915056624873,0.28670793912783765,-0.037730131710154914,6103146.5,1019.4859384843871
2021-03-04,896.4000244140625,916.6699829101562,888.7999877929688,915.010009765625,7364955,0.0,0.0,0.016101986477389474,0.2605697846302117,-0.03753689889752073,6145954.25,1018.4463770045985
2021-03-05,910.0,912.0,896.7999877929688,898.5,4131845,0.0,0.0,-0.018043529130193803,0.2667516756022497,-0.03734366608488655,5750626.25,1017.2528807159956
2021-03-08,900.0,904.4000244140624,892.5999755859375,898.4500122070312,2782080,0.0,0.0,-5.563471671532483e-05,0.24337944799314173,-0.037150433272252356,5350085.75,1016.0707626213791
2021-03-09,900.1900024414062,904.0,883.2999877929688,889.6599731445312,2715590,0.0,0.0,-0.009783559400157849,0.2378204070162636,-0.03695720045961817,5174173.0,1014.8129438206146
2021-03-10,899.2000122070312,903.969970703125,891.2100219726562,900.0800170898438,3149805,0.0,0.0,0.011712389294622927,0.24405739774011748,-0.03676396764698398,5043307.5,1013.6713226591145
2021-03-12,904.0,905.989990234375,880.6199951171875,885.2999877929688,3439260,0.0,0.0,-0.01642079483628811,0.248208788035427,-0.0365707348343498,5037383.0,1012.3939959440285
2021-03-15,892.0,892.4400024414062,857.0,868.4500122070312,4608715,0.0,0.0,-0.01903306881088307,0.2530311547479349,-0.036377502021715614,5142593.25,1010.9617174988842
2021-03-16,876.02001953125,893.3400268554688,873.0,889.9400024414062,4678635,0.0,0.0,0.02474522417215641,0.272836768288953,-0.036184269209081424,5130364.75,1009.7575213291581
2021-03-17,889.9400024414062,893.0,868.8599853515625,871.1699829101562,4769865,0.0,0.0,-0.021091331415328596,0.27567404056032946,-0.03599103639644724,5165623.0,1008.378540847377
2021-03-18,874.0,875.7000122070312,839.010009765625,842.5499877929688,6054535,0.0,0.0,-0.032852365988990995,0.2936871436058444,-0.03579780358381305,5213011.0,1006.7285054936019
2021-03-19,842.0,861.0700073242188,827.0,854.8900146484375,7062075,0.0,0.0,0.014646047159520004,0.29558054056766053,-0.035604570771178866,5308738.25,1005.2176747389237
2021-03-22,855.3800048828125,873.5900268554688,853.6500244140625,870.7899780273438,4336515,0.0,0.0,0.018598840911067338,0.3044530040666469,-0.03541133795854468,5205930.5,1003.880085716918
2021-03-23,870.0,880.5999755859375,864.4199829101562,874.4500122070312,3326180,0.0,0.0,0.004203119319286186,0.29959120111286797,-0.03521810514591049,5023411.25,1002.592224288959
2021-03-24,870.0499877929688,883.7999877929688,866.27001953125,870.0999755859375,3912020,0.0,0.0,-0.0049745972444035225,0.25754817924185575,-0.03502487233327631,4953157.75,1001.2738934560931
2021-03-25,870.0,880.4299926757812,856.9500122070312,876.1099853515625,4707080,0.0,0.0,0.006907263457371915,0.25795484185129264,-0.03483163952064212,5004615.25,1000.0284814351526
2021-03-26,884.0,884.5999755859375,869.5399780273438,881.2000122070312,3626590,0.0,0.0,0.005809803495649302,0.25507414657749766,-0.034638406708007934,4759351.0,998.8461086070121
2021-03-30,885.989990234375,905.489990234375,884.2100219726562,903.6400146484376,4331625,0.0,0.0,0.025465277043294376,0.26812860985612963,-0.03444517389537375,4599209.75,997.8987842890164
2021-03-31,902.0,909.3400268554688,896.2000122070312,903.2000122070312,3862550,0.0,0.0,-0.00048692226359359214,0.26430578462390086,-0.03425194108273956,4615069.0,996.9565079498922
2021-04-01,910.0,918.989990234375,904.4099731445312,917.530029296875,3238200,0.0,0.0,0.01586582915873458,0.26877502591237173,-0.03425194108273956,4317559.5,996.1661947294642
2021-04-05,912.0,916.7999877929688,884.780029296875,911.3200073242188,3661290,0.0,0.0,-0.006768194799482652,0.2667152616051193,-0.03425194108273956,4287970.5,995.3219540587653
2021-04-06,911.7999877929688,927.97998046875,908.4000244140624,923.8499755859376,3711470,0.0,0.0,0.013749251811675745,0.2600601316912085,-0.03425194108273956,4105296.25,994.6107900938616
