date,open,high,low,close,volume,split_ratio,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200
2021-12-10,360.5833435058594,363.2083435058594,350.0,352.4666748046875,11541822,0.0,-0.022487241566501504,0.5554148565987237,-0.034125332773469394,14936713.5,369.6191992795295
2021-12-13,354.1666564941406,359.9666748046875,345.01666259765625,346.9583435058594,8443338,0.0,-0.01562794922918731,0.5572252930442517,-0.034125332773469394,13609969.5,369.3937181275527
2021-12-14,346.6666564941406,346.9583435058594,330.0,335.9333190917969,12100380,0.0,-0.03177621930823038,0.5078926135845313,-0.034125332773469394,13178232.6,369.0607788336646
2021-12-15,344.8333435058594,357.9666748046875,343.6666564941406,354.79998779296875,15262116,0.0,0.056161945329443075,0.5435255569769201,-0.034125332773469394,13489200.9,368.91888041534924
2021-12-16,356.48333740234375,362.5,338.6666564941406,360.9916687011719,14125398,0.0,0.017451186925677264,0.5440637299053592,-0.034125332773469394,13386834.6,368.84000268685
2021-12-17,358.9750061035156,361.6666564941406,344.20001220703125,349.79998779296875,7526790,0.0,-0.031002601662443285,0.5251749813632177,-0.034125332773469394,13165228.5,368.6505498023338
2021-12-20,343.3333435058594,344.0666809082031,318.3416748046875,325.45001220703125,10340538,0.0,-0.06961113903854443,0.5777578866508907,-0.034125332773469394,13174868.4,368.2206937068581
2021-12-21,331.3333435058594,342.9750061035156,325.3500061035156,327.2416687011719,8763210,0.0,0.005505166467779654,0.5774455939931925,-0.034125332773469394,13361087.1,367.81294221426424
2021-12-22,331.6583251953125,337.3333435058594,329.39166259765625,335.07501220703125,4920174,0.0,0.023937487964017734,0.5805778938162218,-0.034125332773469394,12854532.6,367.4871916669286
2021-12-23,338.29998779296875,355.6666564941406,335.8333435058594,353.5916748046875,8451402,0.0,0.055261245760144684,0.5836397303153984,-0.034125332773469394,12486818.4,367.3489278175531
2021-12-24,353.3333435058594,354.1666564941406,338.0,340.8083190917969,5864178,0.0,-0.03615287526198607,0.5377208342076039,-0.034125332773469394,11663448.6,367.0848421585904
2021-12-27,340.0,354.0,331.6666564941406,351.14166259765625,5257260,0.0,0.030320103492180506,0.5473774512121208,-0.034125332773469394,11404184.7,366.92620355599405
2021-12-28,351.6666564941406,360.9166564941406,351.6666564941406,358.875,3945216,0.0,0.022023411705505147,0.5485090792664664,-0.034125332773469394,11317342.8,366.846092077825
2021-12-29,356.6666564941406,362.9166564941406,350.54998779296875,360.0,5609364,0.0,0.0031347962382444194,0.5475490794949994,-0.034125332773469394,11375641.8,366.7779717586427
2021-12-30,356.6333312988281,363.3333435058594,349.0416564941406,351.2749938964844,3650364,0.0,-0.02423612806532116,0.5422674613324705,-0.034125332773469394,11234478.9,366.6237132724521
2021-12-31,353.9916687011719,355.2916564941406,348.3833312988281,350.2583312988281,2986392,0.0,-0.0028942071463129437,0.5398154043534251,-0.034125332773469394,11114428.5,366.46087365082406
2022-01-03,350.8333435058594,355.8166809082031,346.5,347.7083435058594,3254466,0.0,-0.007280305891691041,0.5198740834053551,-0.034125332773469394,10708450.8,366.2742813110732
2022-01-04,350.0,355.8333435058594,349.2583312988281,352.32501220703125,3788256,0.0,0.013277417086467125,0.48598612329977886,-0.034125332773469394,10261894.2,366.1354826135206
2022-01-05,353.5,353.7250061035156,339.1666564941406,340.5,5428572,0.0,-0.033562795138946,0.49601953348456684,-0.034125332773469394,8027296.2,365.88040318453034
2022-01-06,340.0,340.0,332.54998779296875,333.8416748046875,5545002,0.0,-0.01955455270282669,0.496206788965954,-0.034125332773469394,7340211.9,365.56160986731794
2022-01-07,335.0,339.3333435058594,332.7833251953125,334.2250061035156,3459012,0.0,0.0011482427981839294,0.4960820487978801,-0.034125332773469394,6936071.4,365.2498028646931
2022-01-10,337.5,339.1666564941406,333.7583312988281,334.2416687011719,1894050,0.0,4.9854431451779035e-05,0.4911264111902757,-0.034125332773469394,6608607.0,364.9412642162999
