date,open,high,low,close,volume,split_ratio,dividend,daily_return,rolling_volatility_ann,var_95_threshold
2025-01-30,886.5,886.5,825.7874755859375,835.4249877929688,1694547,0.0,0.0,0.019075080643131903,0.5088802254872332,-0.034019302842074474
2025-01-31,843.75,882.0,831.5250244140625,878.2874755859375,437125,0.0,0.0,0.05130620752223747,0.5320987438621112,-0.034019302842074474
2025-02-01,865.6124877929688,888.5250244140625,850.6500244140625,872.8499755859375,187778,0.0,0.0,-0.006191025320465227,0.5282482309829842,-0.034019302842074474
2025-02-03,854.5125122070312,919.6500244140625,852.0750122070312,872.4375,1134094,0.0,0.0,-0.00047256183476507285,0.5189987946302258,-0.034019302842074474
2025-02-04,874.5750122070312,901.7999877929688,859.125,868.5750122070312,427346,0.0,0.0,-0.004427237243892823,0.5190080921147955,-0.034019302842074474
2025-02-05,869.9625244140625,880.4625244140625,861.75,868.9874877929688,300154,0.0,0.0,0.00047488769552495036,0.5146114765207838,-0.034019302842074474
2025-02-06,872.0625,876.8624877929688,842.0625,866.625,225027,0.0,0.0,-0.0027186672146096713,0.5042282134088781,-0.034019302842074474
2025-02-07,861.9000244140625,872.7000122070312,847.4625244140625,860.0250244140625,237135,0.0,0.0,-0.007615722585821438,0.49318770902421194,-0.034019302842074474
2025-02-10,859.9500122070312,861.0,823.5,829.0499877929688,435010,0.0,0.0,-0.03601643643125052,0.4345921498093289,-0.034019302842074474
2025-02-11,828.75,829.8375244140625,790.5,793.8375244140625,203697,0.0,0.0,-0.042473269280958625,0.4572525575543739,-0.034019302842074474
2025-02-12,795.7125244140625,799.7999877929688,759.6749877929688,769.5750122070312,516121,0.0,0.0,-0.03056357435980317,0.46151907986433205,-0.034019302842074474
2025-02-13,769.5374755859375,796.7249755859375,759.1875,769.6500244140625,157203,0.0,0.0,9.747224876255345e-05,0.4450398219300938,-0.034019302842074474
2025-02-14,769.6500244140625,778.0125122070312,753.0,762.5999755859375,153334,0.0,0.0,-0.009160070947171417,0.44532293307611104,-0.034019302842074474
2025-02-17,764.2125244140625,764.25,734.25,740.4749755859375,224638,0.0,0.0,-0.029012589441798076,0.451919029078683,-0.034019302842074474
2025-02-18,741.0,746.8499755859375,724.5,730.3875122070312,190243,0.0,0.0,-0.013622963248587916,0.44938140953283845,-0.034019302842074474
2025-02-19,731.1749877929688,771.5250244140625,726.3375244140625,767.8875122070312,355825,0.0,0.0,0.05134260837330751,0.47451506569848834,-0.034019302842074474
2025-02-20,761.25,783.3375244140625,753.7874755859375,762.75,269142,0.0,0.0,-0.006690448959464468,0.4734755120338206,-0.034019302842074474
2025-02-21,763.5,788.4375,750.75,754.5374755859375,177305,0.0,0.0,-0.010766993659865665,0.46711944750684176,-0.034019302842074474
2025-02-24,754.5750122070312,765.2625122070312,738.75,747.9375,200599,0.0,0.0,-0.008747048091696574,0.4661054221955492,-0.034019302842074474
2025-02-25,747.75,750.2999877929688,727.0125122070312,732.1500244140625,193911,0.0,0.0,-0.02110801448775801,0.47143207732727715,-0.034019302842074474
2025-02-27,729.75,753.75,725.2874755859375,734.3250122070312,183713,0.0,0.0,0.0029706859529361473,0.37357239028344214,-0.034019302842074474
2025-02-28,727.4625244140625,750.5999755859375,699.1500244140625,710.2874755859375,420114,0.0,0.0,-0.03273419292752722,0.37466887176223324,-0.034019302842074474
2025-03-03,710.25,720.4124755859375,693.4874877929688,705.0,231947,0.0,0.0,-0.007444134618276532,0.30794408244938404,-0.034019302842074474
2025-03-04,696.8250122070312,717.4874877929688,686.1375122070312,711.2249755859375,140054,0.0,0.0,0.00882975260416674,0.31474875530192165,-0.034019302842074474
2025-03-05,709.2750244140625,732.75,705.0,723.8250122070312,349923,0.0,0.0,0.0177159647841576,0.32738693960212933,-0.034019302842074474
2025-03-06,733.9874877929688,748.9124755859375,716.8125,718.6500244140625,172371,0.0,0.0,-0.007149501199453678,0.3270800904989957,-0.034019302842074474
2025-03-07,727.5,746.3624877929688,709.6875,715.7625122070312,715742,0.0,0.0,-0.004017967173083337,0.325846145609527,-0.034019302842074474
2025-03-10,715.7625122070312,731.4749755859375,707.4000244140625,717.9000244140625,201390,0.0,0.0,0.002986342775119999,0.32782393660790204,-0.034019302842074474
2025-03-11,712.4625244140625,723.75,693.2249755859375,714.5999755859375,231426,0.0,0.0,-0.004596808351996384,0.3281190743789626,-0.034019302842074474
2025-03-12,714.5999755859375,735.7125244140625,706.3499755859375,732.3375244140625,391458,0.0,0.0,0.024821647682790715,0.33168159654685064,-0.034019302842074474
2025-03-13,729.0,732.0,705.0,712.8375244140625,378699,0.0,0.0,-0.026627066550497736,0.3135829714206655,-0.034019302842074474
