date,open,high,low,close,volume,split_ratio,daily_return,rolling_volatility_ann,var_95_threshold,avg_volume_20d,ema_200
2021-02-02,770.7999877929688,770.7999877929688,749.2999877929688,760.3300170898438,310670,0.0,-0.003538539904542559,0.32468996512999937,-0.023551263031773573,275150.5,770.5005352628593
2021-02-03,764.77001953125,773.7999877929688,754.2000122070312,757.4400024414062,224425,0.0,-0.0038010003333802667,0.31255226370075606,-0.023355296833744887,263515.25,770.3705797123972
2021-02-04,757.4400024414062,765.0,754.0,759.010009765625,187870,0.0,0.002072781103662713,0.308872688008654,-0.0231593306357162,260734.5,770.2575392154145
2021-02-05,770.0,834.9099731445312,766.8800048828125,834.9099731445312,2080245,0.0,0.09999863295919309,0.4662861487665056,-0.022963364437687515,348253.75,770.9008470157042
2021-02-08,880.0,915.7899780273438,843.0399780273438,857.2100219726562,2214695,0.0,0.0267095250331435,0.4732286709833872,-0.022767398239658832,450609.75,771.7596447764699
2021-02-09,859.0,863.0,781.1099853515625,841.75,633125,0.0,-0.018035279075574562,0.47952044524732895,-0.022571432041630146,471416.5,772.4560662214802
2021-02-10,856.0,925.9199829101562,850.010009765625,925.9199829101562,1283930,0.0,0.09999403969130527,0.5831865505950798,-0.02237546584360146,525530.0,773.9830703676363
2021-02-11,971.4000244140624,1018.510009765625,960.030029296875,1018.510009765625,1691710,0.0,0.09999787083594347,0.6539522705978739,-0.022179499645572774,593392.5,776.4161742422432
2021-02-12,1069.4300537109375,1069.4300537109375,1069.4300537109375,1069.4300537109375,392940,0.0,0.04999464262214759,0.6537144146711573,-0.021983533447544088,603095.75,779.3317352319815
2021-02-15,1122.9000244140625,1122.9000244140625,1015.9600219726562,1030.2900390625,2947850,0.0,-0.03659894774101502,0.6724471054125077,-0.024285052666502084,735945.25,781.8288327825339
2021-02-16,1024.0,1070.0,1014.0,1037.8800048828125,539345,0.0,0.007366824420838691,0.6578192798039803,-0.0242183445178904,747373.25,784.3766056392532
2021-02-17,1040.0,1089.77001953125,1037.949951171875,1074.0999755859375,1290930,0.0,0.0348980330411266,0.6415452682628285,-0.024151636369278716,788318.75,787.2594252407127
2021-02-18,1089.5999755859375,1090.800048828125,1055.0,1072.8699951171875,365620,0.0,-0.0011451266145676708,0.6445420959302376,-0.024084928220667035,787465.75,790.1013214583891
2021-02-19,1086.97998046875,1110.0,1019.22998046875,1055.969970703125,674010,0.0,-0.015752164279901004,0.646268116325671,-0.02401822007205535,805516.75,792.7467806548541
2021-02-22,1060.0,1108.760009765625,1056.0,1086.030029296875,1009965,0.0,0.028466774082348545,0.6399488041554298,-0.02395151192344367,842602.5,795.6650219348743
2021-02-23,1100.0,1108.760009765625,1058.0,1065.5400390625,402070,0.0,-0.018866872629333065,0.6527851370533901,-0.023884803774831986,852595.75,798.350345488383
2021-02-24,1070.199951171875,1087.0,1012.5999755859376,1051.469970703125,323240,0.0,-0.013204636000121006,0.6556842509281742,-0.023818095626220302,860870.5,800.8689487243506
2021-02-25,1078.0,1078.0,1031.8900146484375,1039.239990234375,453260,0.0,-0.011631316927264934,0.6581334146573811,-0.02375138747760862,871839.0,803.2407998836544
2021-02-26,1029.5999755859375,1050.8800048828125,1011.4199829101562,1039.8800048828125,440315,0.0,0.0006158487495204756,0.6548862073559855,-0.023684679328996937,887319.75,805.5954188388699
2021-03-01,1066.0,1091.800048828125,1045.0,1070.0999755859375,392415,0.0,0.029061017195470162,0.6464669776964734,-0.023617971180385257,892931.5,808.2273049756567
2021-03-02,1089.0,1123.5999755859375,1060.0,1123.5999755859375,470660,0.0,0.04999532868011314,0.64849400803607,-0.023551263031773573,900931.0,811.3653414991421
2021-03-03,1179.780029296875,1179.780029296875,1123.5999755859375,1143.6300048828125,1051325,0.0,0.01782665515494486,0.6431893475234224,-0.023355296833744887,942276.0,814.671457552711
